,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8,,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,12.0,0.0,0,20181018022718,01082,0.013333333333333334,11.5
1,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,12.0,0.0,1.0,20181018022949.0,01082,0.013333333333333334,11.5
2,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,217.5,0.8333333333333334,217.5,0.8333333333333334,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,11.0,51.0,1.0,20181018022958.0,11077.0,0.0125,12.0
3,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,216.5,0.8695652173913043,216.5,0.8,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,11.0,46.0,1.0,20181018023003.0,11094.0,0.0125,12.0
4,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,216.5,0.8695652173913043,216.5,0.8,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,11.0,46.0,1.0,20181018023004.0,11077.0,0.0125,12.0
5,,,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,216.5,0.8,216.5,0.8695652173913043,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,75.0,90,0,1,11.0,37.0,1.0,20181018023012.0,11077.0,0.0125,12.0
6,,,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,217.5,0.9090909090909091,217.5,0.7692307692307693,17.0,,,7.0,12.0,18.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,77.0,90,0,1,11.0,32.0,1.0,20181018023017.0,11077.0,0.02,10.0
7,,,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,217.5,0.9090909090909091,217.5,0.7692307692307693,17.0,^,,7.0,12.0,19.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,77.0,90,0,1,11.0,32.0,1.0,20181018023017.0,11074^21077,0.02,10.0
8,,,4.0,-13.5,0.7692307692307693,13.5,0.9090909090909091,217.5,0.8333333333333334,217.5,0.8333333333333334,17.0,^,,7.0,12.0,19.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,77.0,90,0,1,11.0,23.0,1.0,20181018023026.0,11074^21077,0.02,10.0
9,,,4.0,-14.5,0.9090909090909091,14.5,0.7692307692307693,216.5,0.8695652173913043,216.5,0.8,17.0,^,,7.0,12.0,19.0,25.0,18.0,4.0,2.0,4.0,0.0,0.0,72.0,50.0,77.0,90,0,1,11.0,15.0,1.0,20181018023034.0,11074^21077,0.016666666666666666,10.5
