,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,5,2.0,16.0,13.0,6.0,12.0,4.0,2.0,1.0,0.0,75.0,60.0,54.0,44,0,1,9.0,20.0,0,20181018152418,21078,2.85,0.23529411764705882
1,,,4.0,5.5,0.8,-5.5,0.8695652173913043,135.5,0.9090909090909091,135.5,0.7692307692307693,,1:2^2:2,,5,2.0,16.0,13.0,6.0,13.0,4.0,2.0,1.0,0.0,75.0,61.9,54.0,45,0,1,9.0,20.0,0,20181018152504.0,21079^21078,2.65,0.26666666666666666
2,,,4.0,4.5,0.9090909090909091,-4.5,0.7692307692307693,136.5,0.8333333333333334,136.5,0.8333333333333334,,2:2^,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,20.0,0,20181018152521.0,21079^11077,2.5,0.2857142857142857
3,,,4.0,4.5,0.9090909090909091,-4.5,0.7692307692307693,136.5,0.8333333333333334,136.5,0.8333333333333334,,2:2^,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,19.0,0,20181018152521.0,21079^11077,2.5,0.2857142857142857
4,,,4.0,4.5,0.9090909090909091,-4.5,0.7692307692307693,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,20.0,0,20181018152521.0,11077.0,2.5,0.2857142857142857
5,,,4.0,5.5,0.7692307692307693,-5.5,0.9090909090909091,135.5,0.9090909090909091,135.5,0.7692307692307693,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,11.0,0,20181018152540.0,11077.0,2.65,0.26666666666666666
6,,,4.0,5.5,0.7692307692307693,-5.5,0.9090909090909091,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,3.0,0,20181018152549.0,11077.0,2.65,0.26666666666666666
7,,,4.0,4.5,0.8695652173913043,-4.5,0.8,135.5,0.8,135.5,0.8695652173913043,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,1.0,0,20181018152551.0,21077.0,2.5,0.2857142857142857
8,,,4.0,4.5,0.8695652173913043,-4.5,0.8,135.5,0.8,135.5,0.8695652173913043,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,9.0,0.0,0,20181018152551.0,21077.0,2.5,0.2857142857142857
9,,,4.0,4.5,0.8695652173913043,-4.5,0.8,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,5,2.0,16.0,13.0,6.0,14.0,4.0,2.0,1.0,0.0,75.0,63.6,54.0,46,0,1,8.0,52.0,0,20181018152600.0,21077.0,2.5,0.2857142857142857
