,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,27.0,0,20181018152432,21077
1,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,26.0,0,20181018152432,21077
2,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,26.0,0,20181018152444.0,21077
3,4.0,43.5,0.8333333333333334,-43.5,0.8333333333333334,,,,,0,1,4.0,23.0,0,20181018152448.0,11077.0
4,4.0,43.5,0.8333333333333334,-43.5,0.8333333333333334,,,,,0,1,4.0,19.0,0.0,20181018152452.0,11077.0
5,4.0,43.5,0.8333333333333334,-43.5,0.8333333333333334,,,,,0,1,4.0,19.0,1.0,20181018152506.0,11077.0
6,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,19.0,1.0,20181018152507.0,21077.0
7,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,10.0,1.0,20181018152515.0,21077.0
8,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,0,1,4.0,13.0,1.0,20181018152518.0,21077.0
9,4.0,43.5,0.8333333333333334,-43.5,0.8333333333333334,,,,,0,1,4.0,12.0,1.0,20181018152520.0,11077.0
10,4.0,43.5,0.8333333333333334,-43.5,0.8333333333333334,,,,,0,1,4.0,3.0,1.0,20181018152528.0,11077.0
11,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,54.0,1.0,20181018152536.0,21077.0
12,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,45.0,1.0,20181018152544.0,21077.0
13,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,42.0,0.0,20181018152547.0,21077.0
14,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,42.0,1.0,20181018152604.0,21077.0
15,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,42.0,1.0,20181018152605.0,21077.0
16,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,43.0,1.0,20181018152605.0,21077.0
17,4.0,42.5,0.8695652173913043,-42.5,0.8,,,,,0,1,3.0,33.0,1.0,20181018152611.0,21077.0
18,4.0,42.5,0.9090909090909091,-42.5,0.7692307692307693,,,,,0,1,3.0,24.0,1.0,20181018152619.0,21077.0
19,4.0,42.5,0.9090909090909091,-42.5,0.7692307692307693,,,,,0,1,3.0,18.0,1.0,20181018152619.0,21077.0
20,4.0,42.5,0.9090909090909091,-42.5,0.7692307692307693,,,,,0,1,3.0,2.0,1.0,20181018152619.0,21077.0
21,4.0,42.5,0.0,-42.5,0.0,,,,,0,1,2.0,55.0,0.0,20181018152636.0,21077.0
22,4.0,42.5,0.0,-42.5,0.0,,,,,0,1,2.0,55.0,1.0,20181018152646.0,21077.0
23,4.0,42.5,0.0,-42.5,0.0,,,,,0,1,2.0,51.0,1.0,20181018152646.0,21077.0
24,4.0,42.5,0.0,-42.5,0.0,,,,,0,1,2.0,43.0,1.0,20181018152649.0,21077.0
25,4.0,44.5,0.0,-44.5,0.0,,^,78.0,32.0,0,1,2.0,36.0,1.0,20181018152655.0,11074^21077
26,4.0,44.5,0.0,-44.5,0.0,,,78.0,32.0,0,1,2.0,35.0,1.0,20181018152656.0,21077.0
27,4.0,44.5,0.0,-44.5,0.0,,,78.0,32.0,0,1,2.0,26.0,1.0,20181018152705.0,21077.0
28,4.0,45.5,0.0,-45.5,0.0,,,78.0,32.0,0,1,2.0,18.0,1.0,20181018152712.0,21077.0
29,4.0,45.5,0.0,-45.5,0.0,,,78.0,32.0,0,1,2.0,17.0,1.0,20181018152712.0,21077.0
30,4.0,44.5,0.0,-44.5,0.0,,,78.0,34.0,0,1,2.0,14.0,1.0,20181018152716.0,21077.0
31,4.0,44.5,0.0,-44.5,0.0,,^,78.0,34.0,0,1,2.0,14.0,1.0,20181018152716.0,21074^11077
32,4.0,44.5,0.0,-44.5,0.0,,^,78.0,34.0,0,1,2.0,3.0,1.0,20181018152726.0,21074^11077
33,4.0,44.5,0.0,-44.5,0.0,,^,78.0,34.0,0,1,2.0,0.0,1.0,20181018152730.0,21074^11077
34,4.0,44.5,0.0,-44.5,0.0,1.0,^,78.0,34.0,0,1,1.0,59.0,1.0,20181018152730.0,21074^11077
35,4.0,43.5,0.0,-43.5,0.0,1.0,^,78.0,34.0,0,1,1.0,53.0,1.0,20181018152737.0,21077.0
36,4.0,43.5,0.0,-43.5,0.0,1.0,^,78.0,34.0,0,1,1.0,52.0,1.0,20181018152737.0,21077.0
37,4.0,42.5,0.0,-42.5,0.0,1.0,^,78.0,36.0,0,1,1.0,42.0,1.0,20181018152745.0,21074^11077
38,4.0,42.5,0.0,-42.5,0.0,1.0,^,78.0,36.0,0,1,1.0,41.0,1.0,20181018152746.0,21074^11077
39,4.0,42.5,0.0,-42.5,0.0,1.0,,78.0,36.0,0,1,1.0,32.0,1.0,20181018152754.0,11077.0
