,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-10.5,0.8695652173913043,10.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,10.0,0.0,0,20181018022202,01083,0.14285714285714285,4.0
1,,,3.0,-10.5,0.8695652173913043,10.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,10.0,0.0,0,20181018023701.0,01083,0.14285714285714285,4.0
2,,,3.0,-10.5,0.8695652173913043,10.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,^,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,10.0,0.0,1.0,20181018023702.0,01089^11077,0.14285714285714285,4.0
3,,,3.0,-10.5,0.8695652173913043,10.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,58.0,1.0,20181018023703.0,21077.0,0.14285714285714285,4.0
4,,,3.0,-10.5,0.8695652173913043,10.5,0.8,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,49.0,1.0,20181018023712.0,21077.0,0.14285714285714285,4.0
5,,,3.0,-10.5,0.8695652173913043,10.5,0.8,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,48.0,1.0,20181018023713.0,11077.0,0.14285714285714285,4.0
6,,,3.0,-10.5,0.8695652173913043,10.5,0.8,136.5,0.8695652173913043,136.5,0.8,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,40.0,1.0,20181018023721.0,11077.0,0.14285714285714285,4.0
7,,,3.0,-9.5,0.8,9.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,32.0,1.0,20181018023729.0,11077.0,0.14285714285714285,4.0
8,,,3.0,-10.5,0.8695652173913043,10.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,31.0,1.0,20181018023730.0,21077.0,0.13333333333333333,4.25
9,,,3.0,-10.5,0.8695652173913043,10.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,30.0,1.0,20181018023731.0,21077.0,0.13333333333333333,4.25
10,,,3.0,-10.5,0.8695652173913043,10.5,0.8,136.5,0.8,136.5,0.8695652173913043,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,29.0,1.0,20181018023732.0,21077.0,0.13333333333333333,4.25
11,,,3.0,-9.5,0.8,9.5,0.8695652173913043,135.5,0.8333333333333334,135.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,21.0,1.0,20181018023740.0,11077.0,0.14285714285714285,4.0
12,,,3.0,-9.5,0.8,9.5,0.8695652173913043,134.5,0.8695652173913043,134.5,0.8,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,12.0,1.0,20181018023748.0,11077.0,0.14285714285714285,4.0
13,,,3.0,-9.5,0.8,9.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,11.0,0.0,20181018023750.0,11077.0,0.14285714285714285,4.0
14,,,3.0,-9.5,0.8,9.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,10.0,0.0,20181018023800.0,11077.0,0.14285714285714285,4.0
15,,,3.0,-9.5,0.8,9.5,0.8695652173913043,134.5,0.8333333333333334,134.5,0.8333333333333334,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,12.0,0.0,20181018023800.0,11077.0,0.14285714285714285,4.0
16,,,3.0,-9.5,0.8,9.5,0.8695652173913043,134.5,0.8,134.5,0.8695652173913043,,,,5.0,2.0,4.0,12.0,4.0,4.0,2.0,2.0,0.0,0.0,66.7,80.0,27,34,0,1,9.0,3.0,0.0,20181018023808.0,11077.0,0.14285714285714285,4.0
