,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-23.5,0.8,23.5,0.8695652173913043,178.5,0.8333333333333334,178.5,0.8333333333333334,,,,7.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,61,88,0,1,7.0,39.0,1,20181018020555,21077
1,,,4.0,-22.5,0.8,22.5,0.8695652173913043,178.5,0.8333333333333334,178.5,0.8333333333333334,,,,7.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,61,88,0,1,7.0,38.0,1,20181018020557.0,11077.0
2,,,4.0,-22.5,0.8,22.5,0.8695652173913043,177.5,0.9090909090909091,177.5,0.7692307692307693,,,,7.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,61,88,0,1,7.0,29.0,1,20181018020606.0,11077.0
3,,,4.0,-20.5,0.8,20.5,0.8695652173913043,180.5,0.8695652173913043,180.5,0.8,,^,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,7.0,28.0,1,20181018020607.0,11075^21077
4,,,4.0,-20.5,0.8,20.5,0.8695652173913043,180.5,0.8695652173913043,180.5,0.8,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,7.0,28.0,1,20181018020608.0,21077.0
5,,,4.0,-20.5,0.7692307692307693,20.5,0.9090909090909091,180.5,0.8,180.5,0.8695652173913043,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,7.0,19.0,1,20181018020616.0,21077.0
6,,,4.0,-19.5,0.7692307692307693,19.5,0.9090909090909091,179.5,0.9090909090909091,179.5,0.7692307692307693,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,7.0,15.0,1,20181018020620.0,11077.0
7,,,4.0,-19.5,0.7692307692307693,19.5,0.9090909090909091,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,7.0,6.0,1,20181018020629.0,11077.0
8,,,4.0,-20.5,0.9090909090909091,20.5,0.7692307692307693,178.5,0.9090909090909091,178.5,0.7692307692307693,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,58.0,1,20181018020637.0,11077.0
9,,,4.0,-20.5,0.9090909090909091,20.5,0.7692307692307693,178.5,0.8333333333333334,178.5,0.8333333333333334,,,,8.0,7.0,13.0,31.0,13.0,5.0,-1.0,3,0.0,2.0,76.5,45.5,64,88,0,1,6.0,53.0,1,20181018020642.0,11077.0
