,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,173.5,0.7692307692307693,173.5,0.9090909090909091,,,,,5.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,59,67,0,1,1.0,32.0,1,20181018152448,11077,0.2222222222222222,3.0
1,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,1.0,25.0,1,20181018152456.0,11075^21077,0.3333333333333333,2.25
2,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,1.0,17.0,1,20181018152504.0,11075^21077,0.3333333333333333,2.25
3,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,1.0,8.0,1,20181018152512.0,11075^21077,0.3333333333333333,2.25
4,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,1.0,6.0,0.0,20181018152515.0,11075^21077,0.3333333333333333,2.25
5,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,1.0,6.0,1.0,20181018152526.0,11075^21077,0.3333333333333333,2.25
6,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,173.5,0.9090909090909091,173.5,0.7692307692307693,,,^,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,0.0,58.0,1.0,20181018152534.0,11075^21077,0.3333333333333333,2.25
7,,,,3.0,-3.5,0.8,3.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,3.0,100.0,100.0,62,67,0,1,0.0,52.0,1.0,20181018152540.0,11077.0,0.4,1.75
8,,,,3.0,-3.5,0.8,3.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,,,^,1.0,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,4.0,100.0,100.0,62,67,0,1,0.0,50.0,0.0,20181018152542.0,21086^11077,0.4,1.75
9,,,,3.0,-3.5,0.8,3.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,,,^,1.0,6.0,6.0,4.0,8.0,5.0,2.0,4,5.0,2.0,4.0,100.0,100.0,62,67,0,1,0.0,50.0,1.0,20181018152546.0,21086^11077,0.4,1.75
