,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,3.0,-23.5,0.8695652173913043,23.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,10.0,0.0,0,20181019134812,01083,0.005,16.0
1,,3.0,-23.5,0.8695652173913043,23.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,^,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,10.0,0.0,1.0,20181019140357.0,01089^11077,0.005,16.0
2,,3.0,-23.5,0.8695652173913043,23.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,^,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,57.0,0.0,20181019140400.0,01089^11077,0.005,16.0
3,,3.0,-23.5,0.8695652173913043,23.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,57.0,0.0,20181019140400.0,21077.0,0.005,16.0
4,,3.0,-23.5,0.8695652173913043,23.5,0.8,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,57.0,1.0,20181019140408.0,21077.0,0.005,16.0
5,,3.0,-23.5,0.8695652173913043,23.5,0.8,162.5,0.8695652173913043,162.5,0.8,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,49.0,1.0,20181019140417.0,21077.0,0.005,16.0
6,,3.0,-23.5,0.8695652173913043,23.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,44.0,1.0,20181019140421.0,11077.0,0.005,16.0
7,,3.0,-23.5,0.8695652173913043,23.5,0.8,161.5,0.8695652173913043,161.5,0.8,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,36.0,1.0,20181019140429.0,11077.0,0.005,16.0
8,,3.0,-22.5,0.8,22.5,0.8695652173913043,161.5,0.8,161.5,0.8695652173913043,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,28.0,1.0,20181019140438.0,11077.0,0.005,16.0
9,,3.0,-22.5,0.8,22.5,0.8695652173913043,160.5,0.8333333333333334,160.5,0.8333333333333334,,,,,7.0,5.0,4.0,11.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,52.0,0,1,9.0,20.0,1.0,20181019140446.0,11077.0,0.005,16.0
