,AM,AS,ED,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,,13,11,,21,18,,9,20,,1,-1,,3,3,,90.0,74.1,,90,90,0,1,5.0,0.0,0,20181019132552,01082
1,,,,,^,,,13,11,,21,18,,9,20,,1,-1,,3,3,,90.0,74.1,,90,90,0,1,5.0,0.0,0,20181019132552,11077.0
2,,,,,,,,13,11,,21,18,,9,20,,1,-1,,3,3,,90.0,74.1,,90,90,0,1,4.0,56.0,0.0,20181019132829.0,11077.0
3,,,,,,,,13,11,,21,18,,9,20,,1,-1,,3,3,,90.0,74.1,,90,90,0,1,4.0,55.0,0.0,20181019132845.0,11077.0
4,,,,,,1.0,,13,11,,21,18,,9,20,,1,-1,4.0,3,3,,90.0,74.1,,90,90,0,1,4.0,55.0,0.0,20181019132848.0,21086.0
5,,,,,1:2,1.0,,13,11,,21,18,,9,20,,1,-1,4.0,3,3,,90.0,74.1,,90,90,0,1,4.0,55.0,0.0,20181019132849.0,11078.0
6,,,,,1:2^2:2,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,90.9,90.0,74.1,,91,90,0,1,4.0,55.0,0.0,20181019132858.0,11079^11078
7,,,,,2:2^,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,55.0,1.0,20181019132912.0,11080^21077
8,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,55.0,1.0,20181019132912.0,1077.0
9,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,55.0,1.0,20181019132914.0,1077.0
10,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,51.0,1.0,20181019132916.0,1077.0
11,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,42.0,1.0,20181019132924.0,1077.0
12,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,36.0,0.0,20181019132931.0,1077.0
13,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,36.0,0.0,20181019132932.0,1077.0
14,,,,,,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,36.0,0.0,20181019133001.0,11086.0
15,,,,,1:2,1.0,,13,11,,21,18,10.0,9,20,,1,-1,4.0,3,3,83.3,90.0,74.1,,91,90,0,1,4.0,36.0,0.0,20181019133002.0,21078.0
16,,,,,1:2^2:2,1.0,,13,11,,21,18,21.0,9,20,,1,-1,4.0,3,3,75.0,90.0,74.1,,91,91,0,1,4.0,36.0,0.0,20181019133022.0,21079^21078
17,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,36.0,0.0,20181019133039.0,11077.0
18,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,36.0,0.0,20181019133041.0,11077.0
19,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,36.0,1.0,20181019133041.0,11077.0
20,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,27.0,1.0,20181019133050.0,11077.0
21,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,20.0,1.0,20181019133058.0,11077.0
22,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,19.0,1.0,20181019133058.0,21077.0
23,,,,,,1.0,,13,11,,21,18,22.0,9,20,,1,-1,4.0,3,3,75.9,90.0,74.1,,91,92,0,1,4.0,11.0,1.0,20181019133107.0,21077.0
