,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,11.5,0.8,-11.5,0.8695652173913043,168.5,0.7692307692307693,168.5,0.9090909090909091,,,8,7.0,24.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,81,70,0,1,4.0,7.0,1,20181019042524,11077,14.0,0.01
1,,,4.0,11.5,0.8,-11.5,0.8695652173913043,168.5,0.7692307692307693,168.5,0.9090909090909091,13.0,,8,7.0,24.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,81,70,0,1,3.0,59.0,1,20181019042532.0,11077,14.0,0.01
2,,,4.0,12.5,0.8,-12.5,0.8695652173913043,169.5,0.7692307692307693,169.5,0.9090909090909091,13.0,^,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,59.0,1,20181019042533.0,11074^21077,16.0,0.005
3,,,4.0,12.5,0.8,-12.5,0.8695652173913043,169.5,0.7692307692307693,169.5,0.9090909090909091,13.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,58.0,1,20181019042533.0,21077.0,16.0,0.005
4,,,4.0,12.5,0.8,-12.5,0.8695652173913043,168.5,0.9090909090909091,168.5,0.7692307692307693,13.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,49.0,1,20181019042542.0,21077.0,17.0,0.004
5,,,4.0,12.5,0.8,-12.5,0.8695652173913043,168.5,0.8,168.5,0.8695652173913043,12.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,41.0,1,20181019042550.0,21077.0,17.0,0.004
6,,,4.0,13.5,0.8,-13.5,0.8695652173913043,167.5,0.9090909090909091,167.5,0.7692307692307693,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,35.0,1,20181019042556.0,11077.0,17.0,0.004
7,,,4.0,13.5,0.8,-13.5,0.8695652173913043,167.5,0.9090909090909091,167.5,0.7692307692307693,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,34.0,1,20181019042557.0,11077.0,17.0,0.004
8,,,4.0,13.5,0.8,-13.5,0.8695652173913043,167.5,0.7692307692307693,167.5,0.9090909090909091,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,26.0,1,20181019042605.0,11077.0,17.0,0.004
9,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.9090909090909091,166.5,0.7692307692307693,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,20.0,1,20181019042611.0,21077.0,17.0,0.004
10,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.9090909090909091,166.5,0.7692307692307693,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,19.0,1,20181019042612.0,21077.0,17.0,0.004
11,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.7692307692307693,166.5,0.9090909090909091,11.0,,8,7.0,25.0,15.0,9.0,19.0,0,0.0,6.0,4.0,64.3,82.6,83,70,0,1,3.0,12.0,0.0,20181019042619.0,21077.0,17.0,0.004
12,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.7692307692307693,166.5,0.9090909090909091,11.0,^,8,7.0,25.0,15.0,9.0,19.0,0,0.0,7.0,4.0,64.3,82.6,83,70,0,1,3.0,13.0,0.0,20181019042628.0,11086^21077,17.0,0.004
13,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.7692307692307693,166.5,0.9090909090909091,11.0,^,8,7.0,25.0,15.0,9.0,19.0,0,0.0,7.0,4.0,64.3,82.6,83,70,0,1,3.0,13.0,0.0,20181019042629.0,11086^21077,17.0,0.004
14,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.7692307692307693,166.5,0.9090909090909091,11.0,^,8,7.0,25.0,15.0,9.0,19.0,0,0.0,7.0,4.0,64.3,82.6,83,70,0,1,3.0,13.0,0.0,20181019042645.0,11086^21077,17.0,0.004
15,,,4.0,11.5,0.9090909090909091,-11.5,0.7692307692307693,167.5,0.8333333333333334,167.5,0.8333333333333334,13.0,1:2,8,7.0,25.0,15.0,9.0,19.0,0,0.0,7.0,4.0,64.3,82.6,83,70,0,1,3.0,13.0,0.0,20181019042646.0,21078.0,17.0,0.004
16,,,4.0,12.5,0.8695652173913043,-12.5,0.8,166.5,1.0,166.5,0.7142857142857143,11.0,1:2^2:2,8,7.0,25.0,15.0,9.0,19.0,0,0.0,7.0,4.0,64.3,79.2,83,70,0,1,3.0,13.0,0.0,20181019042653.0,21080^21078,17.0,0.004
17,,,4.0,12.5,0.8,-12.5,0.8695652173913043,167.5,0.8,167.5,0.8695652173913043,11.0,2:2^,8,7.0,25.0,15.0,9.0,20.0,0,0.0,7.0,4.0,64.3,80.0,83,71,0,1,3.0,13.0,0.0,20181019042714.0,21079^11077,17.0,0.004
18,,,4.0,12.5,0.8,-12.5,0.8695652173913043,167.5,0.8,167.5,0.8695652173913043,11.0,2:2^,8,7.0,25.0,15.0,9.0,20.0,0,0.0,7.0,4.0,64.3,80.0,83,71,0,1,3.0,13.0,1.0,20181019042726.0,21079^11077,17.0,0.004
19,,,4.0,12.5,0.8,-12.5,0.8695652173913043,167.5,0.8,167.5,0.8695652173913043,11.0,2:2^,8,7.0,25.0,15.0,9.0,20.0,0,0.0,7.0,4.0,64.3,80.0,83,71,0,1,3.0,12.0,1.0,20181019042727.0,21079^11077,17.0,0.004
20,,,4.0,12.5,0.8,-12.5,0.8695652173913043,167.5,0.8,167.5,0.8695652173913043,11.0,,8,7.0,25.0,15.0,9.0,20.0,0,0.0,7.0,4.0,64.3,80.0,83,71,0,1,3.0,13.0,1.0,20181019042727.0,11077.0,17.0,0.004
21,,,4.0,12.5,0.8,-12.5,0.8695652173913043,166.5,0.8695652173913043,166.5,0.8,11.0,,8,7.0,25.0,15.0,9.0,20.0,0,0.0,7.0,4.0,64.3,80.0,83,71,0,1,3.0,4.0,1.0,20181019042736.0,11077.0,17.0,0.004
