,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,12.5,0.8695652173913043,-12.5,0.8,,,,6,5,,21,19,11,6,3,0,3,5,,78.6,75.0,71,59,0,1,2.0,1.0,0,20181019163216,11079^11078
1,4.0,12.5,0.7142857142857143,-12.5,1.0,,2:2^,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,2.0,1.0,1.0,20181019163240.0,11080^21077
2,4.0,12.5,0.7142857142857143,-12.5,1.0,,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,2.0,1.0,1.0,20181019163243.0,21077.0
3,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,56.0,1.0,20181019163246.0,21077.0
4,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,54.0,0.0,20181019163248.0,21077.0
5,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,54.0,1.0,20181019163252.0,21077.0
6,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,49.0,0.0,20181019163257.0,21077.0
7,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,49.0,1.0,20181019163304.0,21077.0
8,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,40.0,1.0,20181019163312.0,21077.0
9,4.0,11.5,0.0,-11.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,39.0,1.0,20181019163314.0,21077.0
10,4.0,12.5,0.0,-12.5,0.0,1.0,,,6,5,,21,19,11,6,3,0,3,5,73.3,78.6,75.0,71,59,0,1,1.0,37.0,1.0,20181019163316.0,11077.0
