,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,2.5,0.8695652173913043,-2.5,0.8,133.5,0.9090909090909091,133.5,0.7692307692307693,,,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,1.0,0.0,50.0,92.9,54,48,0,1,8.0,12.0,0,20181019015152,11086,1.55,0.47619047619047616
1,,,4.0,2.5,0.8695652173913043,-2.5,0.8,133.5,0.9090909090909091,133.5,0.7692307692307693,,,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,1.0,0.0,50.0,92.9,54,48,0,1,8.0,12.0,1.0,20181019015204.0,11086,1.55,0.47619047619047616
2,,,4.0,2.5,0.8695652173913043,-2.5,0.8,133.5,0.8695652173913043,133.5,0.8,,,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,1.0,0.0,50.0,92.9,54,48,0,1,8.0,11.0,0.0,20181019015205.0,11086,1.55,0.47619047619047616
3,,,4.0,2.5,0.8695652173913043,-2.5,0.8,133.5,0.8695652173913043,133.5,0.8,,,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,1.0,0.0,50.0,92.9,54,48,0,1,8.0,11.0,0.0,20181019015209.0,11086,1.55,0.47619047619047616
4,,,4.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,135.5,0.8,135.5,0.8695652173913043,,1:2,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,1.0,0.0,50.0,92.9,54,48,0,1,8.0,11.0,0.0,20181019015217.0,21078.0,1.25,0.5714285714285714
5,,,4.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,135.5,0.8,135.5,0.8695652173913043,,^1:2,,4.0,3.0,20.0,13.0,2.0,13.0,3.0,3.0,2.0,0.0,50.0,86.7,54,48,0,1,8.0,11.0,0.0,20181019015217.0,11086^21078,1.25,0.5714285714285714
6,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,135.5,0.9090909090909091,135.5,0.7692307692307693,17.0,2:2,,4.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,54,49,0,1,8.0,11.0,0.0,20181019015310.0,21079.0,1.5,0.5
7,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,135.5,0.9090909090909091,135.5,0.7692307692307693,17.0,2:2,,4.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,54,49,0,1,8.0,11.0,0.0,20181019015312.0,21079.0,1.5,0.5
8,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,135.5,0.8333333333333334,135.5,0.8333333333333334,17.0,,,4.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,54,49,0,1,8.0,2.0,0.0,20181019015320.0,11077.0,1.5,0.5
9,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8,17.0,,,4.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,54,49,0,1,7.0,54.0,0.0,20181019015329.0,11077.0,1.55,0.47619047619047616
10,,,4.0,4.5,0.8333333333333334,-4.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,16.0,^,,5.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,57,49,0,1,7.0,50.0,0.0,20181019015332.0,11075^21077,2.65,0.26666666666666666
11,,,4.0,4.5,0.8333333333333334,-4.5,0.8333333333333334,136.5,0.8,136.5,0.8695652173913043,16.0,,,5.0,3.0,20.0,13.0,2.0,14.0,3.0,3.0,2.0,0.0,50.0,87.5,57,49,0,1,7.0,45.0,0.0,20181019015338.0,21077.0,2.75,0.25
