,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,12.0,0.0,0,20181020021952,01083,0.05555555555555555,10.25
1,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,12.0,0.0,1.0,20181020023654.0,01083,0.05555555555555555,10.25
2,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,59.0,1.0,20181020023654.0,01083,0.05555555555555555,10.25
3,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,59.0,1.0,20181020023655.0,01083,0.05555555555555555,10.25
4,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,58.0,1.0,20181020023655.0,01083,0.05555555555555555,10.25
5,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,58.0,1.0,20181020023656.0,01083,0.05555555555555555,10.25
6,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,57.0,1.0,20181020023656.0,01083,0.05555555555555555,10.25
7,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,56.0,1.0,20181020023657.0,01083,0.05555555555555555,10.25
8,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8695652173913043,245.5,0.8695652173913043,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,56.0,1.0,20181020023658.0,01083,0.05555555555555555,10.25
9,,,3.0,-15.5,0.9090909090909091,15.5,0.8333333333333334,245.5,0.8333333333333334,245.5,0.9090909090909091,26.0,,,9.0,10.0,13.0,15.0,7.0,17.0,3.0,3.0,0.0,0.0,50.0,73.9,61,77.0,0,1,11.0,55.0,1.0,20181020023658.0,01083,0.05555555555555555,10.25
