,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,51.0,1,20181020023452,21077,0.5263157894736842,1.4
1,,,2.0,-3.5,0.8695652173913043,3.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,43.0,1,20181020023500.0,11077.0,0.5555555555555556,1.3
2,,,2.0,-3.5,0.8695652173913043,3.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,39.0,0.0,20181020023504.0,11077.0,0.5555555555555556,1.3
3,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,39.0,0.0,20181020023506.0,21077.0,0.5263157894736842,1.4
4,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,39.0,0.0,20181020023524.0,21077.0,0.5263157894736842,1.4
5,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,39.0,1.0,20181020023541.0,21077.0,0.5263157894736842,1.4
6,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,30.0,1.0,20181020023550.0,21077.0,0.5263157894736842,1.4
7,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,22.0,1.0,20181020023558.0,21077.0,0.5263157894736842,1.4
8,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,14.0,1.0,20181020023606.0,21077.0,0.5263157894736842,1.4
9,,,2.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,,,,0.0,3.0,12.0,7.0,9.0,7.0,5.0,4.0,4.0,2.0,90.0,70.0,33.0,30,0,1,4.0,6.0,1.0,20181020023608.0,21094.0,0.5263157894736842,1.4
