,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,,19,20,,8,8,3,1,,5,2,,72.7,53.3,,64,87,0,1,4.0,38.0,1,20181020135631,11077
1,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,,19,20,,8,8,3,1,,5,2,,72.7,53.3,,64,87,0,1,4.0,29.0,1,20181020135639.0,11077
2,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,,19,20,,8,8,3,1,,5,2,,72.7,53.3,,64,87,0,1,4.0,21.0,1,20181020135648.0,11077
3,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,,19,20,,8,8,3,1,,5,2,,72.7,53.3,,64,87,0,1,4.0,13.0,1,20181020135656.0,11077
4,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,^,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,4.0,9.0,1,20181020135700.0,11074^21077
5,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,4.0,9.0,1,20181020135701.0,21077.0
6,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,4.0,0.0,1,20181020135709.0,21077.0
7,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,3.0,56.0,1,20181020135713.0,21077.0
8,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,3.0,54.0,1,20181020135715.0,21077.0
9,4.0,-21.5,0.8333333333333334,21.5,0.8333333333333334,,,,,6,12,20.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,87,0,1,3.0,51.0,1,20181020135718.0,21077.0
10,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,^,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,50.0,1,20181020135721.0,21074^11077
11,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,41.0,1,20181020135730.0,11077.0
12,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,39.0,1,20181020135732.0,21077.0
13,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,34.0,1,20181020135735.0,21077.0
14,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,32.0,1,20181020135736.0,21077.0
15,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,23.0,1,20181020135745.0,21077.0
16,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,15.0,1,20181020135753.0,21077.0
17,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,16.0,0.0,20181020135754.0,21077.0
18,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,15.0,0.0,20181020135808.0,11077.0
19,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,15.0,0.0,20181020135810.0,11077.0
20,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,15.0,1.0,20181020135811.0,11077.0
21,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,13.0,1.0,20181020135812.0,11077.0
22,4.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,66,89,0,1,3.0,4.0,1.0,20181020135821.0,11077.0
23,4.0,-21.5,0.0,21.5,0.0,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,89,0,1,3.0,0.0,1.0,20181020135826.0,11077.0
24,4.0,-21.5,0.0,21.5,0.0,,,,,6,12,21.0,19,20,,8,8,3,1,,5,2,,72.7,53.3,,68,89,0,1,3.0,0.0,1.0,20181020135827.0,21077.0
