,AM,AS,ED,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,13,3,,15,22,,19,17,,3,1,,7,8,,70.4,63.0,88,70,0,1,1.0,40.0,1,20181019174334,11077
1,,,,,,13,3,,15,22,,19,17,,3,1,,7,8,,70.4,63.0,88,70,0,1,1.0,32.0,1,20181019174342.0,11077
2,,,,,,13,3,,15,22,,19,17,,3,1,,7,8,,70.4,63.0,88,70,0,1,1.0,28.0,1,20181019174347.0,11095.0
3,,,,,,13,3,,15,22,,19,17,,3,1,,7,8,,70.4,63.0,88,70,0,1,1.0,24.0,0.0,20181019174351.0,21077.0
4,,,,^,,13,3,23.0,15,22,,19,17,,3,1,,7,8,,70.4,63.0,88,72,0,1,1.0,24.0,0.0,20181019174352.0,21074^11077
5,,,,^,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,24.0,0.0,20181019174353.0,11086^21077
6,,,,1:1,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,24.0,0.0,20181019174354.0,21078.0
7,,,,1:1,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,24.0,0.0,20181019174420.0,21078.0
8,,,,1:1,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,23.0,0.0,20181019174420.0,21078.0
9,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,23.0,0.0,20181019174422.0,11077.0
10,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,23.0,1.0,20181019174432.0,11077.0
11,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,18.0,1.0,20181019174437.0,21077.0
12,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,15.0,0.0,20181019174440.0,21077.0
13,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,15.0,0.0,20181019174443.0,21077.0
14,,,,,,13,3,23.0,15,22,,19,17,,3,1,8.0,7,8,,70.4,63.0,88,72,0,1,1.0,15.0,0.0,20181019174447.0,21095.0
15,,,,^,,13,3,23.0,15,22,,19,17,,3,1,9.0,7,8,,70.4,63.0,88,72,0,1,1.0,15.0,0.0,20181019174448.0,11086^21077
16,,,,1:2,,13,3,23.0,15,22,,19,17,,3,1,9.0,7,8,,70.4,63.0,88,72,0,1,1.0,15.0,0.0,20181019174449.0,21078.0
17,,,,1:2^2:2,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,62.1,70.4,63.0,88,73,0,1,1.0,15.0,0.0,20181019174528.0,21079^21078
18,,,,2:2^,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,1.0,15.0,1.0,20181019174539.0,21080^11077
19,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,1.0,14.0,1.0,20181019174539.0,11077.0
20,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,1.0,11.0,1.0,20181019174543.0,11077.0
21,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,1.0,11.0,1.0,20181019174543.0,21077.0
22,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,57.0,1.0,20181019174554.0,21077.0
23,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,56.0,0.0,20181019174557.0,21077.0
24,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,56.0,0.0,20181019174558.0,21095.0
25,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,56.0,1.0,20181019174609.0,21095.0
26,,,,,,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,52.0,1.0,20181019174612.0,21095.0
27,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,52.0,1.0,20181019174612.0,11077.0
28,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,50.0,0.0,20181019174612.0,11077.0
29,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,50.0,1.0,20181019174617.0,11077.0
30,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,41.0,1.0,20181019174625.0,11077.0
31,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,36.0,1.0,20181019174631.0,21077.0
32,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,36.0,1.0,20181019174632.0,11077.0
33,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,32.0,1.0,20181019174636.0,11095.0
34,,,,,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,9.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,27.0,0.0,20181019174641.0,21077.0
35,,,,^,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,10.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,27.0,0.0,20181019174644.0,11086^21077
36,,,,1:2,4.0,13,3,23.0,15,22,18.0,19,17,,3,1,10.0,7,8,60.0,70.4,63.0,88,73,0,1,0.0,27.0,0.0,20181019174646.0,21078.0
