,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,44.0,1,20181019174111,11077
1,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,40.0,1,20181019174116.0,21077.0
2,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,36.0,0.0,20181019174120.0,21077.0
3,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,36.0,1.0,20181019174139.0,21077.0
4,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,33.0,0.0,20181019174142.0,21077.0
5,,,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,33.0,0.0,20181019174147.0,11086.0
6,,1:2,15,6,,19,12,,12,13,2,2,,5,4,,57.1,65.0,95,55,0,1,0,33.0,0.0,20181019174148.0,21078.0
7,,^1:2,15,6,,19,12,14.0,12,13,2,2,6.0,5,4,66.7,57.1,65.0,95,55,0,1,0,33.0,0.0,20181019174148.0,11086^21078
8,,2:2^,15,6,,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,55,0,1,0,33.0,1.0,20181019174208.0,21080^11077
9,,,15,6,,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,55,0,1,0,33.0,1.0,20181019174210.0,21077.0
10,,,15,6,,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,55,0,1,0,31.0,1.0,20181019174211.0,11077.0
11,,,15,6,,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,55,0,1,0,26.0,1.0,20181019174216.0,21077.0
12,,^,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,20.0,1.0,20181019174222.0,21074^11077
13,,^,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,19.0,0.0,20181019174223.0,21074^11077
14,,^,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,19.0,1.0,20181019174226.0,21074^11077
15,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,19.0,1.0,20181019174227.0,11077.0
16,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,10.0,1.0,20181019174235.0,11077.0
17,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,1.0,1.0,20181019174243.0,11077.0
18,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,0.0,0.0,20181019174245.0,11077.0
19,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,0.0,0.0,20181019174245.0,1084.0
20,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,0.0,0.0,20181019174247.0,1084.0
21,,,15,6,13.0,19,12,14.0,12,13,2,2,6.0,5,4,63.6,57.1,65.0,95,58,0,1,0,0.0,0.0,20181019174247.0,1084.0
