,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,3.5,0.0,-3.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,55.0,1,20181020134548,21077
1,,,4.0,3.5,0.0,-3.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,46.0,1,20181020134556.0,21077
2,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,43.0,1,20181020134600.0,11077.0
3,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,37.0,0.0,20181020134606.0,11077.0
4,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,39.0,0.0,20181020134612.0,11077.0
5,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,41.0,0.0,20181020134614.0,11077.0
6,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,41.0,0.0,20181020134616.0,21086.0
7,,,4.0,4.5,0.0,-4.5,0.0,,1:2,,3,1,,20,18,,12,19,,2,1,,5,5,,54.5,54.3,,61,58,0,1,1.0,41.0,0.0,20181020134622.0,11078.0
8,,,4.0,4.5,0.0,-4.5,0.0,,^1:2,,3,1,,20,18,,12,19,,2,1,6.0,5,5,,54.5,54.3,,62,58,0,1,1.0,41.0,0.0,20181020134630.0,21086^11078
9,,,4.0,4.5,0.0,-4.5,0.0,,1:2^2:2,,3,1,,20,18,13.0,12,19,,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,41.0,0.0,20181020134651.0,11079^11078
10,44.0,5.0,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,41.0,0.0,20181020134659.0,21081.0
11,44.0,5.0,4.0,4.5,0.0,-4.5,0.0,,^,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,41.0,0.0,20181020134701.0,21077^21081
12,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,41.0,0.0,20181020134827.0,21077.0
13,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,41.0,1.0,20181020134832.0,21077.0
14,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,34.0,0.0,20181020134838.0,21077.0
15,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,34.0,0.0,20181020134843.0,21077.0
16,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,34.0,1.0,20181020134850.0,11077.0
17,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,25.0,1.0,20181020134859.0,11077.0
18,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,17.0,1.0,20181020134907.0,11077.0
19,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,17.0,1.0,20181020134908.0,21077.0
20,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,8.0,1.0,20181020134916.0,21077.0
21,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,6.0,0.0,20181020134919.0,21077.0
22,,,4.0,4.5,0.0,-4.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,6.0,0.0,20181020134934.0,21086.0
23,,,4.0,7.5,0.0,-7.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,6.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,6.0,0.0,20181020134938.0,21086.0
24,,,4.0,6.5,0.0,-6.5,0.0,,^1:2,,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,56.5,54.5,54.3,63.0,63,58,0,1,1.0,6.0,0.0,20181020134939.0,21086^11078
25,,,4.0,5.5,0.0,-5.5,0.0,,1:2^2:2,,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,56.0,54.5,54.3,63.0,63,58,0,1,1.0,6.0,0.0,20181020134948.0,11080^11078
26,,,4.0,4.5,0.0,-4.5,0.0,,2:2^,,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,63,58,0,1,1.0,6.0,1.0,20181020135002.0,11080^21077
27,,,4.0,5.5,0.0,-5.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,63,58,0,1,1.0,6.0,1.0,20181020135004.0,11077.0
28,,,4.0,5.5,0.0,-5.5,0.0,,,,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,63,58,0,1,1.0,0.0,1.0,20181020135007.0,11077.0
29,,,4.0,7.5,0.0,-7.5,0.0,1.0,^,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,52.0,1.0,20181020135015.0,11075^21077
30,,,4.0,7.5,0.0,-7.5,0.0,1.0,^,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,51.0,0.0,20181020135016.0,11075^21077
31,,,4.0,7.5,0.0,-7.5,0.0,1.0,^,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,51.0,1.0,20181020135031.0,11075^21077
32,,,4.0,7.5,0.0,-7.5,0.0,1.0,,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,51.0,1.0,20181020135031.0,21077.0
33,,,4.0,7.5,0.0,-7.5,0.0,1.0,,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,40.0,0.0,20181020135042.0,21077.0
34,,,4.0,7.5,0.0,-7.5,0.0,1.0,,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,40.0,0.0,20181020135053.0,21086.0
35,,,4.0,7.5,0.0,-7.5,0.0,1.0,1:2,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,7.0,5,5,53.8,54.5,54.3,63.0,66,58,0,1,0.0,40.0,0.0,20181020135103.0,11078.0
36,,,4.0,7.5,0.0,-7.5,0.0,1.0,^1:2,4.0,3,1,,20,18,13.0,12,19,0.0,2,1,8.0,5,5,51.9,54.5,54.3,63.0,66,58,0,1,0.0,40.0,0.0,20181020135103.0,21086^11078
