,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,10.0,0.0,0,20181020021058,01083,0.4166666666666667,1.7
1,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,10.0,0.0,1.0,20181020022731.0,01083,0.4166666666666667,1.7
2,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,9.0,59.0,1.0,20181020022731.0,01083,0.4166666666666667,1.7
3,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,9.0,57.0,1.0,20181020022733.0,01083,0.4166666666666667,1.7
4,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,9.0,48.0,1.0,20181020022741.0,11077.0,0.4166666666666667,1.7
5,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,0.0,100.0,62.5,45.0,47,0,1,9.0,44.0,0.0,20181020022745.0,11077.0,0.4166666666666667,1.7
6,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,^,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,1.0,100.0,62.5,45.0,47,0,1,9.0,45.0,0.0,20181020022758.0,21086^11077,0.4166666666666667,1.7
7,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,1:2,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,1.0,100.0,62.5,45.0,47,0,1,9.0,45.0,0.0,20181020022800.0,11078.0,0.5,1.5
8,,,3.0,-3.5,0.8,3.5,0.8695652173913043,174.5,0.8695652173913043,174.5,0.8,,1:2^2:2,,7.0,10.0,8.0,6.0,8.0,5.0,3.0,4.0,0.0,1.0,88.9,62.5,45.0,47,0,1,9.0,45.0,0.0,20181020022810.0,11080^11078,0.45454545454545453,1.6
9,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,2:2^,,7.0,10.0,8.0,6.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,47,0,1,9.0,45.0,0.0,20181020022827.0,11079^21077,0.47619047619047616,1.55
10,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,2:2^,,7.0,10.0,8.0,6.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,47,0,1,9.0,44.0,0.0,20181020022827.0,11079^21077,0.47619047619047616,1.55
11,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,6.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,47,0,1,9.0,44.0,0.0,20181020022831.0,21077.0,0.47619047619047616,1.55
12,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,174.5,0.8695652173913043,174.5,0.8,,,,7.0,10.0,8.0,6.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,47,0,1,9.0,35.0,0.0,20181020022839.0,21077.0,0.47619047619047616,1.55
13,,,3.0,-5.5,0.8695652173913043,5.5,0.8,176.5,0.8695652173913043,176.5,0.8,,^,,7.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,49,0,1,9.0,32.0,0.0,20181020022843.0,21074^11077,0.36363636363636365,2.0
14,,,3.0,-5.5,0.8695652173913043,5.5,0.8,176.5,0.8695652173913043,176.5,0.8,,,,7.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,49,0,1,9.0,31.0,0.0,20181020022844.0,11077.0,0.36363636363636365,2.0
15,,,3.0,-5.5,0.8695652173913043,5.5,0.8,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,7.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,49,0,1,9.0,22.0,0.0,20181020022852.0,11077.0,0.37037037037037035,1.95
16,,,3.0,-5.5,0.8695652173913043,5.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,7.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,49,0,1,9.0,17.0,0.0,20181020022858.0,11077.0,0.37037037037037035,1.95
17,,,3.0,-5.5,0.8695652173913043,5.5,0.8,175.5,0.8,175.5,0.8695652173913043,,,,7.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,46.0,49,0,1,9.0,8.0,0.0,20181020022907.0,11077.0,0.37037037037037035,1.95
18,,,3.0,-2.5,0.8,2.5,0.8695652173913043,178.5,0.8,178.5,0.8695652173913043,,^,,8.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,49.0,49,0,1,9.0,1.0,0.0,20181020022914.0,11075^21077,0.5555555555555556,1.3
19,,,3.0,-2.5,0.8,2.5,0.8695652173913043,178.5,0.8,178.5,0.8695652173913043,,,,8.0,10.0,8.0,7.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,49.0,49,0,1,9.0,0.0,0.0,20181020022915.0,21077.0,0.5555555555555556,1.3
20,,,3.0,-4.5,0.8695652173913043,4.5,0.8,180.5,0.8,180.5,0.8695652173913043,,^,,8.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,49.0,51,0,1,8.0,55.0,0.0,20181020022920.0,21074^11077,0.43478260869565216,1.65
21,,,3.0,-4.5,0.8695652173913043,4.5,0.8,179.5,0.8695652173913043,179.5,0.8,,,,8.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,49.0,51,0,1,8.0,53.0,0.0,20181020022922.0,11077.0,0.43478260869565216,1.65
22,,,3.0,-4.5,0.8695652173913043,4.5,0.8,179.5,0.8,179.5,0.8695652173913043,,,,8.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,49.0,51,0,1,8.0,44.0,0.0,20181020022930.0,11077.0,0.43478260869565216,1.65
23,,,3.0,-2.5,0.8695652173913043,2.5,0.8,182.5,0.8333333333333334,182.5,0.8333333333333334,25.0,^,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,40.0,0.0,20181020022935.0,11075^21077,0.625,1.2
24,,,3.0,-2.5,0.8695652173913043,2.5,0.8,182.5,0.8333333333333334,182.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,38.0,0.0,20181020022937.0,21077.0,0.625,1.2
25,,,3.0,-2.5,0.8695652173913043,2.5,0.8,181.5,0.8333333333333334,181.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,29.0,0.0,20181020022945.0,21077.0,0.625,1.2
26,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,181.5,0.8333333333333334,181.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,27.0,0.0,20181020022948.0,11077.0,0.7142857142857143,1.0
27,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,181.5,0.8333333333333334,181.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,26.0,0.0,20181020022949.0,11077.0,0.7142857142857143,1.0
28,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,180.5,0.8333333333333334,180.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,18.0,0.0,20181020022957.0,11077.0,0.7142857142857143,1.0
29,,,3.0,-2.5,0.8695652173913043,2.5,0.8,180.5,0.8333333333333334,180.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,17.0,0.0,20181020022958.0,21077.0,0.625,1.2
30,,,3.0,-2.5,0.8695652173913043,2.5,0.8,180.5,0.8333333333333334,180.5,0.8333333333333334,25.0,,,9.0,10.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,51,0,1,8.0,16.0,0.0,20181020022958.0,21077.0,0.625,1.2
31,,,3.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,^,,9.0,11.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,54,0,1,8.0,10.0,0.0,20181020023005.0,21075^11077,0.45454545454545453,1.6
32,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,,,9.0,11.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,54,0,1,8.0,8.0,0.0,20181020023007.0,11077.0,0.45454545454545453,1.6
33,,,3.0,-3.5,0.8,3.5,0.8695652173913043,182.5,0.8333333333333334,182.5,0.8333333333333334,25.0,,,9.0,11.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,54,0,1,7.0,59.0,0.0,20181020023016.0,11077.0,0.45454545454545453,1.6
34,,,3.0,-3.5,0.8,3.5,0.8695652173913043,182.5,0.8,182.5,0.8695652173913043,25.0,,,9.0,11.0,8.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,52.0,54,0,1,7.0,51.0,0.0,20181020023024.0,11077.0,0.45454545454545453,1.6
35,,,3.0,-3.5,0.8695652173913043,3.5,0.8,183.5,0.8695652173913043,183.5,0.8,25.0,^,,9.0,11.0,9.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,54,0,1,7.0,45.0,0.0,20181020023030.0,11074^21077,0.5263157894736842,1.4
36,,,3.0,-3.5,0.8695652173913043,3.5,0.8,183.5,0.8695652173913043,183.5,0.8,25.0,,,9.0,11.0,9.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,54,0,1,7.0,44.0,0.0,20181020023032.0,21077.0,0.5263157894736842,1.4
37,,,3.0,-3.5,0.8695652173913043,3.5,0.8,183.5,0.8,183.5,0.8695652173913043,25.0,,,9.0,11.0,9.0,8.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,54,0,1,7.0,35.0,0.0,20181020023040.0,21077.0,0.5263157894736842,1.4
38,,,3.0,-3.5,0.8,3.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,25.0,^,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,56,0,1,7.0,34.0,0.0,20181020023041.0,21074^11077,0.47619047619047616,1.55
39,,,3.0,-3.5,0.8,3.5,0.8695652173913043,185.5,0.8,185.5,0.8695652173913043,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,56,0,1,7.0,32.0,0.0,20181020023043.0,11077.0,0.47619047619047616,1.55
40,,,3.0,-3.5,0.8,3.5,0.8695652173913043,184.5,0.8333333333333334,184.5,0.8333333333333334,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,56,0,1,7.0,23.0,0.0,20181020023051.0,11077.0,0.47619047619047616,1.55
41,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8695652173913043,183.5,0.8,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,56,0,1,7.0,15.0,0.0,20181020023100.0,11077.0,0.47619047619047616,1.55
42,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,1.0,90.0,62.5,54.0,56,0,1,7.0,13.0,0.0,20181020023101.0,11077.0,0.47619047619047616,1.55
43,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,^,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,7.0,14.0,0.0,20181020023114.0,21086^11077,0.47619047619047616,1.55
44,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,^,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,7.0,14.0,0.0,20181020023116.0,21086^11077,0.47619047619047616,1.55
45,,,3.0,-3.5,0.8,3.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,25.0,^,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,7.0,13.0,0.0,20181020023120.0,21086^11077,0.47619047619047616,1.55
46,,,3.0,-3.5,0.8,3.5,0.8695652173913043,182.5,0.8695652173913043,182.5,0.8,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,7.0,4.0,0.0,20181020023129.0,11077.0,0.47619047619047616,1.55
47,,,3.0,-3.5,0.8,3.5,0.8695652173913043,182.5,0.8695652173913043,182.5,0.8,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,6.0,59.0,0.0,20181020023134.0,11077.0,0.47619047619047616,1.55
48,,,3.0,-3.5,0.8,3.5,0.8695652173913043,182.5,0.8,182.5,0.8695652173913043,25.0,,,9.0,11.0,9.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,54.0,56,0,1,6.0,55.0,0.0,20181020023138.0,11077.0,0.47619047619047616,1.55
49,,,3.0,-2.5,0.7692307692307693,2.5,0.9090909090909091,184.5,0.8333333333333334,184.5,0.8333333333333334,24.0,^,,9.0,11.0,10.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,56.0,56,0,1,6.0,54.0,0.0,20181020023139.0,11074^21077,0.5263157894736842,1.4
50,,,3.0,-2.5,0.7692307692307693,2.5,0.9090909090909091,184.5,0.8333333333333334,184.5,0.8333333333333334,24.0,^,,9.0,11.0,10.0,9.0,9.0,5.0,3.0,4.0,0.0,2.0,90.0,62.5,56.0,56,0,1,6.0,53.0,0.0,20181020023140.0,11074^21077,0.5263157894736842,1.4
51,,,3.0,-2.5,0.8695652173913043,2.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,24.0,^,,9.0,11.0,10.0,9.0,9.0,5.0,3.0,4.0,0.0,3.0,90.0,62.5,56.0,56,0,1,6.0,53.0,0.0,20181020023151.0,21086^11077,0.625,1.2
52,,,3.0,-2.5,0.8333333333333334,2.5,0.8333333333333334,184.5,0.8695652173913043,184.5,0.8,24.0,1:1,,9.0,11.0,10.0,9.0,9.0,5.0,3.0,4.0,0.0,3.0,90.0,62.5,56.0,56,0,1,6.0,53.0,0.0,20181020023152.0,11078.0,0.625,1.2
53,,,3.0,-2.5,0.8695652173913043,2.5,0.8,185.5,0.8333333333333334,185.5,0.8333333333333334,24.0,1:1^,,9.0,11.0,10.0,9.0,10.0,5.0,3.0,4.0,0.0,3.0,90.9,62.5,57.0,56,0,1,6.0,53.0,0.0,20181020023216.0,11079^21077,0.625,1.2
54,,,3.0,-2.5,0.8695652173913043,2.5,0.8,185.5,0.8333333333333334,185.5,0.8333333333333334,24.0,1:1^,,9.0,11.0,10.0,9.0,10.0,5.0,3.0,4.0,0.0,3.0,90.9,62.5,57.0,56,0,1,6.0,52.0,1.0,20181020023219.0,11079^21077,0.625,1.2
55,,,3.0,-2.5,0.8695652173913043,2.5,0.8,185.5,0.8333333333333334,185.5,0.8333333333333334,24.0,,,9.0,11.0,10.0,9.0,10.0,5.0,3.0,4.0,0.0,3.0,90.9,62.5,57.0,56,0,1,6.0,51.0,1.0,20181020023220.0,21077.0,0.625,1.2
56,,,3.0,-2.5,0.8695652173913043,2.5,0.8,184.5,0.8695652173913043,184.5,0.8,24.0,,,9.0,11.0,10.0,9.0,10.0,5.0,3.0,4.0,0.0,3.0,90.9,62.5,57.0,56,0,1,6.0,42.0,1.0,20181020023228.0,21077.0,0.625,1.2
