,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,8.5,0.8,-8.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,18.0,8,2,0,2,5.0,81.8,57.1,86,71,0,1,0,50.0,0,20181020021638,21086,4.25,0.13333333333333333
1,,8.5,0.8,-8.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,18.0,8,2,0,2,5.0,81.8,57.1,86,71,0,1,0,55.0,0,20181020021643.0,21086,4.25,0.13333333333333333
2,,8.5,0.8,-8.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,1:2,10,7,19,21.0,18.0,8,2,0,2,6.0,81.8,57.1,86,71,0,1,0,55.0,0,20181020021643.0,11078.0,4.25,0.13333333333333333
3,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,1:2^2:2,10,7,19,21.0,19.0,8,2,0,2,6.0,82.6,57.1,87,71,0,1,0,55.0,0,20181020021654.0,11079^11078,4.25,0.13333333333333333
4,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,2:2,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,55.0,0,20181020021703.0,11079.0,4.25,0.13333333333333333
5,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,2:2,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,55.0,1.0,20181020021706.0,11079.0,4.25,0.13333333333333333
6,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,46.0,1.0,20181020021715.0,21077.0,4.25,0.13333333333333333
7,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,42.0,0.0,20181020021719.0,21077.0,4.25,0.13333333333333333
8,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,42.0,1.0,20181020021737.0,21077.0,4.25,0.13333333333333333
9,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,33.0,1.0,20181020021746.0,21077.0,4.25,0.13333333333333333
10,,17.5,0.8,-17.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,32.0,1.0,20181020021746.0,11077.0,4.25,0.13333333333333333
11,,16.5,0.8,-16.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,21.0,20.0,8,2,0,2,6.0,83.3,57.1,88,71,0,1,0,30.0,1.0,20181020021748.0,21077.0,4.25,0.13333333333333333
12,,15.5,0.8,-15.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,^,10,7,19,22.0,20.0,8,2,0,2,6.0,83.3,57.1,88,73,0,1,0,27.0,1.0,20181020021751.0,21074^11077,4.25,0.13333333333333333
13,,15.5,0.8,-15.5,0.8695652173913043,172.5,0.8695652173913043,172.5,0.8,,10,7,19,22.0,20.0,8,2,0,2,6.0,83.3,57.1,88,73,0,1,0,25.0,1.0,20181020021753.0,11077.0,4.25,0.13333333333333333
