,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,51.5,0.7692307692307693,-51.5,0.9090909090909091,155.5,0.8695652173913043,155.5,0.8,,,,8,6.0,25.0,7.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,8.0,27.0,1,20181020042514,11077
1,,,4.0,51.5,0.7692307692307693,-51.5,0.9090909090909091,155.5,0.8695652173913043,155.5,0.8,,,,8,6.0,25.0,7.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,8.0,27.0,1,20181020042519.0,21077.0
2,,,4.0,51.5,0.8,-51.5,0.8695652173913043,155.5,0.7692307692307693,155.5,0.9090909090909091,,,,8,6.0,25.0,7.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,8.0,13.0,1,20181020042527.0,21077.0
3,,,4.0,51.5,0.7692307692307693,-51.5,0.9090909090909091,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,8,6.0,25.0,7.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,8.0,7.0,1,20181020042531.0,21077.0
4,,,4.0,51.5,0.7692307692307693,-51.5,0.9090909090909091,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,8.0,7.0,1,20181020042531.0,11077.0
5,,,4.0,51.5,0.8695652173913043,-51.5,0.8,156.5,0.7692307692307693,156.5,0.9090909090909091,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,7.0,57.0,1,20181020042545.0,11077.0
6,,,4.0,51.5,0.8695652173913043,-51.5,0.8,157.5,0.8333333333333334,157.5,0.8333333333333334,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,7.0,49.0,1,20181020042553.0,11077.0
7,,,4.0,49.5,0.8695652173913043,-49.5,0.8,156.5,0.9090909090909091,156.5,0.7692307692307693,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,7.0,42.0,1,20181020042600.0,21077.0
8,,,4.0,49.5,0.8333333333333334,-49.5,0.8333333333333334,156.5,0.8695652173913043,156.5,0.8,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,7.0,40.0,0.0,20181020042602.0,21077.0
9,,,4.0,49.5,0.8333333333333334,-49.5,0.8333333333333334,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,0.0,56.2,53.8,83,39,0,1,7.0,36.0,0.0,20181020042606.0,21077.0
10,,,4.0,50.5,0.8333333333333334,-50.5,0.8333333333333334,157.5,0.7692307692307693,157.5,0.9090909090909091,,^,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,1.0,56.2,53.8,83,39,0,1,7.0,44.0,0.0,20181020042657.0,21086^11077
11,,,4.0,50.5,0.8333333333333334,-50.5,0.8333333333333334,157.5,0.7692307692307693,157.5,0.9090909090909091,,,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,1.0,56.2,53.8,83,39,0,1,7.0,44.0,0.0,20181020042657.0,11077.0
12,,,4.0,50.5,0.8333333333333334,-50.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,1:2^2:2,,8,6.0,25.0,8.0,9.0,7.0,5,2.0,2.0,1.0,52.9,53.8,83,39,0,1,7.0,44.0,0.0,20181020042727.0,11080^11078
