,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,1.5,0.7692307692307693,-1.5,1.0,201.5,0.8333333333333334,201.5,0.9090909090909091,,,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,5.0,2.0,88.2,81.2,86,84.0,0,1,6.0,36.0,0,20181020023239,21081,1.3,0.625
1,,,4.0,1.5,0.7692307692307693,-1.5,1.0,201.5,0.8333333333333334,201.5,0.9090909090909091,,,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,5.0,2.0,88.2,81.2,86,84.0,0,1,6.0,36.0,0,20181020023514.0,21077.0,1.3,0.625
2,,,4.0,1.5,0.7692307692307693,-1.5,1.0,201.5,0.8333333333333334,201.5,0.9090909090909091,,,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,5.0,2.0,88.2,81.2,86,84.0,0,1,6.0,36.0,1.0,20181020023514.0,21077.0,1.3,0.625
3,,,4.0,1.5,0.7692307692307693,-1.5,1.0,201.5,0.8,201.5,0.9523809523809523,,,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,5.0,2.0,88.2,81.2,86,84.0,0,1,6.0,33.0,0.0,20181020023517.0,21077.0,1.3,0.625
4,,,4.0,1.5,0.7692307692307693,-1.5,1.0,201.5,0.8,201.5,0.9523809523809523,,^,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,6.0,2.0,88.2,81.2,86,84.0,0,1,6.0,33.0,0.0,20181020023518.0,11086^21077,1.3,0.625
5,,,4.0,1.5,0.8333333333333334,-1.5,0.9090909090909091,202.5,0.8695652173913043,202.5,0.8695652173913043,,1:2,,7.0,9.0,25.0,22.0,15.0,13.0,2.0,2.0,6.0,2.0,88.2,81.2,86,84.0,0,1,6.0,33.0,0.0,20181020023519.0,21078.0,1.1,0.7142857142857143
6,,,4.0,-1.5,0.9523809523809523,1.5,0.8,202.5,0.9090909090909091,202.5,0.8333333333333334,15.0,1:2^2:2,,7.0,9.0,25.0,22.0,15.0,14.0,2.0,2.0,6.0,2.0,88.2,82.4,86,85.0,0,1,6.0,33.0,0.0,20181020023526.0,21079^21078,0.7407407407407407,1.05
7,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,203.5,0.7692307692307693,203.5,1.0,15.0,2:2^,,7.0,9.0,25.0,22.0,15.0,15.0,2.0,2.0,6.0,2.0,88.2,83.3,86,86.0,0,1,6.0,33.0,0.0,20181020023537.0,21079^11077,0.7142857142857143,1.1
8,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,203.5,0.7692307692307693,203.5,1.0,15.0,,,7.0,9.0,25.0,22.0,15.0,15.0,2.0,2.0,6.0,2.0,88.2,83.3,86,86.0,0,1,6.0,33.0,1.0,20181020023537.0,11077.0,0.7142857142857143,1.1
9,,,4.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,202.5,0.8695652173913043,202.5,0.8695652173913043,15.0,,,7.0,9.0,25.0,22.0,15.0,15.0,2.0,2.0,6.0,2.0,88.2,83.3,86,86.0,0,1,6.0,24.0,1.0,20181020023546.0,11077.0,0.7142857142857143,1.1
