,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,151.5,0.7692307692307693,151.5,0.9090909090909091,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,10.0,0.0,0,20181020135457,01082
1,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,151.5,0.7692307692307693,151.5,0.9090909090909091,,^,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,10.0,0.0,1.0,20181020135457,01090^11077
2,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.9090909090909091,150.5,0.7692307692307693,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,58.0,1.0,20181020135645.0,11077.0
3,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.9090909090909091,150.5,0.7692307692307693,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,57.0,0.0,20181020135646.0,11077.0
4,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.9090909090909091,150.5,0.7692307692307693,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,57.0,0.0,20181020135656.0,11077.0
5,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,48.0,0.0,20181020135704.0,11077.0
6,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.7692307692307693,150.5,0.9090909090909091,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,42.0,0.0,20181020135711.0,11077.0
7,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,0.0,85.7,72.2,69,49,0,1,9.0,41.0,0.0,20181020135720.0,11077.0
8,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,149.5,0.9090909090909091,149.5,0.7692307692307693,,^,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,1.0,85.7,72.2,69,49,0,1,9.0,41.0,0.0,20181020135720.0,21086^11077
9,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,150.5,0.8333333333333334,150.5,0.8333333333333334,,1:2^2:2,,8.0,6,17.0,9.0,12.0,13.0,1,3,0.0,1.0,80.0,72.2,69,49,0,1,9.0,41.0,0.0,20181020135729.0,11080^11078
10,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.9090909090909091,150.5,0.7692307692307693,,2:2^,,8.0,6,17.0,9.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,49,0,1,9.0,41.0,0.0,20181020135738.0,11079^21077
11,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,150.5,0.9090909090909091,150.5,0.7692307692307693,,2:2^,,8.0,6,17.0,9.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,49,0,1,9.0,40.0,0.0,20181020135738.0,11079^21077
12,4.0,26.5,0.8,-26.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8,,,,8.0,6,17.0,9.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,49,0,1,9.0,36.0,0.0,20181020135745.0,21077.0
13,4.0,26.5,0.8,-26.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,,,,8.0,6,17.0,9.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,49,0,1,9.0,27.0,0.0,20181020135754.0,21077.0
14,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,152.5,0.7692307692307693,152.5,0.9090909090909091,,,,8.0,6,17.0,9.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,51,0,1,9.0,23.0,0.0,20181020135758.0,21077.0
15,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,152.5,0.7692307692307693,152.5,0.9090909090909091,,^,,8.0,6,17.0,10.0,13.0,13.0,1,3,0.0,1.0,81.2,72.2,70,51,0,1,9.0,23.0,0.0,20181020135758.0,21074^11077
