,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,,10,11,,1,2,,6,3,,58.8,45.8,66,59,0,1,2.0,59.0,1,20181020104529,21077
1,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,,10,11,,1,2,,6,3,,58.8,45.8,66,59,0,1,2.0,50.0,1,20181020104537.0,21077
2,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,,10,11,,1,2,,6,3,,58.8,45.8,66,59,0,1,2.0,43.0,0.0,20181020104544.0,21077
3,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,,10,11,,1,2,,6,3,,58.8,45.8,66,59,0,1,2.0,43.0,0.0,20181020104545.0,21077
4,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,,10,11,,1,2,,6,3,,58.8,45.8,66,59,0,1,2.0,44.0,0.0,20181020104557.0,21077
5,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,^,,,2,2,,24,21,,10,11,,1,2,7.0,6,3,,58.8,45.8,66,59,0,1,2.0,44.0,0.0,20181020104557.0,11086^21077
6,,,4.0,6.5,1.0,-6.5,0.7142857142857143,,1:2^2:2,,,2,2,,24,21,,10,11,,1,2,7.0,6,3,44.0,58.8,45.8,66,59,0,1,2.0,44.0,0.0,20181020104611.0,21080^21078
7,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,2:2^,,,2,2,,24,21,12.0,10,11,,1,2,7.0,6,3,46.2,58.8,45.8,66,60,0,1,2.0,44.0,0.0,20181020104622.0,21079^11077
8,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,2:2^,,,2,2,,24,21,12.0,10,11,,1,2,7.0,6,3,46.2,58.8,45.8,66,60,0,1,2.0,43.0,0.0,20181020104622.0,21079^11077
9,,,4.0,6.5,0.8333333333333334,-6.5,0.8333333333333334,,,,,2,2,,24,21,12.0,10,11,,1,2,7.0,6,3,46.2,58.8,45.8,66,60,0,1,2.0,43.0,0.0,20181020104625.0,11077.0
