,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,2.5,0.8,-2.5,0.9523809523809523,238.5,0.8695652173913043,238.5,0.8695652173913043,,,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,1.0,68.0,58.3,109,108,0,1,4.0,10.0,0,20181021055806,11077,1.6,0.5263157894736842
1,,,4.0,2.5,0.8,-2.5,0.9523809523809523,238.5,0.8695652173913043,238.5,0.8695652173913043,,,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,1.0,68.0,58.3,109,108,0,1,4.0,10.0,0,20181021060332.0,11077,1.6,0.5263157894736842
2,,,4.0,2.5,0.8,-2.5,0.9523809523809523,238.5,0.8695652173913043,238.5,0.8695652173913043,,,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,1.0,68.0,58.3,109,108,0,1,4.0,10.0,1.0,20181021060354.0,11077,1.6,0.5263157894736842
3,,,4.0,2.5,0.8,-2.5,0.9523809523809523,238.5,0.8695652173913043,238.5,0.8695652173913043,,,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,1.0,68.0,58.3,109,108,0,1,4.0,9.0,0.0,20181021060355.0,11077,1.6,0.5263157894736842
4,,,4.0,2.5,0.8,-2.5,0.9523809523809523,238.5,0.8695652173913043,238.5,0.8695652173913043,,^,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,2.0,68.0,58.3,109,108,0,1,4.0,9.0,0.0,20181021060422.0,21086^11077,1.6,0.5263157894736842
5,,,4.0,2.5,0.9523809523809523,-2.5,0.8,239.5,0.9090909090909091,239.5,0.8333333333333334,,1:2,,14.0,8,25.0,38.0,17.0,7.0,2,2.0,2.0,2.0,68.0,58.3,109,108,0,1,4.0,9.0,0.0,20181021060425.0,11078.0,2.05,0.4
6,,,4.0,3.5,0.8,-3.5,0.9523809523809523,239.5,0.9523809523809523,239.5,0.8,,1:2^2:2,,14.0,8,25.0,38.0,18.0,7.0,2,2.0,2.0,2.0,69.2,58.3,110,108,0,1,4.0,9.0,0.0,20181021060502.0,11079^11078,2.15,0.37037037037037035
7,,,4.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,240.5,1.0,240.5,0.7692307692307693,,2:2^,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,9.0,0.0,20181021060514.0,11079^21077,2.3,0.3333333333333333
8,,,4.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,240.5,1.0,240.5,0.7692307692307693,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,9.0,1.0,20181021060515.0,21077.0,2.3,0.3333333333333333
9,,,4.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,240.5,0.9090909090909091,240.5,0.8333333333333334,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,6.0,0.0,20181021060518.0,21077.0,2.35,0.3225806451612903
10,,,4.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,240.5,0.9090909090909091,240.5,0.8333333333333334,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,6.0,0.0,20181021060524.0,11077.0,3.3,0.2222222222222222
11,,,4.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,240.5,0.8,240.5,0.9523809523809523,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,0.0,0.0,20181021060528.0,11077.0,3.3,0.2222222222222222
12,,,4.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,241.5,0.8,241.5,0.9523809523809523,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,12.0,1.0,20181021060534.0,11077.0,3.3,0.2222222222222222
13,,,4.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,4.0,5.0,1.0,20181021060542.0,11094.0,3.3,0.2222222222222222
14,,,4.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,240.5,0.7692307692307693,240.5,1.0,13.0,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,3.0,57.0,1.0,20181021060550.0,21077.0,2.35,0.3225806451612903
15,,,4.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,239.5,0.8695652173913043,239.5,0.8695652173913043,13.0,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,3.0,51.0,1.0,20181021060555.0,21095.0,2.35,0.3225806451612903
16,,,4.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,239.5,0.8333333333333334,239.5,0.9090909090909091,13.0,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,3.0,51.0,1.0,20181021060556.0,11077.0,3.3,0.2222222222222222
17,,,4.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,238.5,0.9090909090909091,238.5,0.8333333333333334,13.0,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,3.0,42.0,1.0,20181021060604.0,11077.0,3.3,0.2222222222222222
18,,,4.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,238.5,0.8695652173913043,238.5,0.8695652173913043,13.0,,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,2.0,70.4,58.3,111,108,0,1,3.0,41.0,0.0,20181021060606.0,11077.0,3.3,0.2222222222222222
19,,,4.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,238.5,0.8695652173913043,238.5,0.8695652173913043,13.0,^,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,3.0,70.4,58.3,111,108,0,1,3.0,41.0,0.0,20181021060625.0,21086^11077,3.3,0.2222222222222222
20,,,4.0,5.5,0.7692307692307693,-5.5,1.0,241.5,0.7692307692307693,241.5,1.0,13.0,1:3,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,3.0,70.4,58.3,111,108,0,1,3.0,41.0,0.0,20181021060629.0,11078.0,4.25,0.16666666666666666
21,,,4.0,4.5,0.9523809523809523,-4.5,0.8,239.5,1.0,239.5,0.7692307692307693,13.0,1:3^2:3,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,3.0,67.9,58.3,111,108,0,1,3.0,41.0,0.0,20181021060639.0,11080^11078,3.9,0.18181818181818182
22,,,4.0,4.5,0.8333333333333334,-4.5,0.9090909090909091,238.5,1.0,238.5,0.7692307692307693,13.0,2:3^3:3,,14.0,8,25.0,38.0,19.0,7.0,2,2.0,2.0,3.0,65.5,58.3,111,108,0,1,3.0,41.0,0.0,20181021060654.0,11080^11078,3.3,0.2222222222222222
23,,,4.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,239.5,1.0,239.5,0.7692307692307693,13.0,3:3^,,14.0,8,25.0,38.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,108,0,1,3.0,41.0,0.0,20181021060711.0,11079^21077,3.6,0.2
24,,,4.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,239.5,1.0,239.5,0.7692307692307693,13.0,,,14.0,8,25.0,38.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,108,0,1,3.0,41.0,1.0,20181021060711.0,21077.0,3.6,0.2
25,,,4.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,239.5,0.9523809523809523,239.5,0.8,13.0,,,14.0,8,25.0,38.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,108,0,1,3.0,40.0,0.0,20181021060712.0,21077.0,3.6,0.2
26,,,4.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,239.5,0.9523809523809523,239.5,0.8,13.0,,,14.0,8,25.0,38.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,108,0,1,3.0,40.0,1.0,20181021060720.0,21077.0,3.6,0.2
27,,,4.0,4.5,0.9090909090909091,-4.5,0.8333333333333334,239.5,0.7692307692307693,239.5,1.0,13.0,,,14.0,8,25.0,38.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,108,0,1,3.0,31.0,1.0,20181021060729.0,21077.0,3.6,0.2
28,,,4.0,3.5,0.7692307692307693,-3.5,1.0,240.5,0.7692307692307693,240.5,1.0,13.0,^,,14.0,8,25.0,39.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,110,0,1,3.0,28.0,1.0,20181021060733.0,21074^11077,2.25,0.3448275862068966
29,,,4.0,3.5,0.7692307692307693,-3.5,1.0,240.5,0.7692307692307693,240.5,1.0,13.0,,,14.0,8,25.0,39.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,110,0,1,3.0,27.0,1.0,20181021060733.0,11077.0,2.25,0.3448275862068966
30,,,4.0,3.5,0.7692307692307693,-3.5,1.0,239.5,0.9090909090909091,239.5,0.8333333333333334,13.0,,,14.0,8,25.0,39.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,110,0,1,3.0,23.0,0.0,20181021060737.0,11077.0,2.25,0.3448275862068966
31,,,4.0,3.5,0.7692307692307693,-3.5,1.0,239.5,0.9090909090909091,239.5,0.8333333333333334,13.0,,,14.0,8,25.0,39.0,20.0,7.0,2,2.0,2.0,3.0,66.7,58.3,112,110,0,1,3.0,23.0,1.0,20181021060739.0,11077.0,2.25,0.3448275862068966
