,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,2.5,0.9090909090909091,-2.5,0.7692307692307693,,,,,6,3,,23,21,,6,16,,4,2,,4,3,,54.5,84.2,70,67,0,1,2.0,47.0,0,20181021062803,21077^21081
1,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,,^1:2^2:2,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,85.0,54.5,84.2,70,68,0,1,2.0,47.0,0,20181021063001.0,21077^21079^21078
2,,,4.0,3.5,0.7692307692307693,-3.5,0.9090909090909091,,2:2^,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,68,0,1,2.0,47.0,1.0,20181021063014.0,21080^11077
3,,,4.0,3.5,0.7692307692307693,-3.5,0.9090909090909091,,2:2^,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,68,0,1,2.0,38.0,1.0,20181021063023.0,21080^11077
4,,,4.0,3.5,0.7692307692307693,-3.5,0.9090909090909091,,2:2^,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,68,0,1,2.0,47.0,1.0,20181021063027.0,21080^11077
5,,,4.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,,,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,68,0,1,2.0,47.0,1.0,20181021063028.0,21077.0
6,,,4.0,2.5,0.7692307692307693,-2.5,0.9090909090909091,,,,,6,3,,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,68,0,1,2.0,38.0,1.0,20181021063036.0,21077.0
7,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,,^,,,6,3,22.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,70,0,1,2.0,34.0,1.0,20181021063040.0,21074^11077
8,,,4.0,1.5,0.8,-1.5,0.8695652173913043,,,,,6,3,22.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,70,0,1,2.0,28.0,1.0,20181021063046.0,11077.0
9,,,4.0,-1.5,1.1,1.5,0.6666666666666666,,,,,6,3,22.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,70,0,1,2.0,21.0,1.0,20181021063053.0,21077.0
10,,,4.0,-1.5,0.8695652173913043,1.5,0.8,,^,,,6,3,23.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,2.0,15.0,1.0,20181021063059.0,21074^11077
11,,,4.0,-1.5,0.8695652173913043,1.5,0.8,,^,,,6,3,23.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,2.0,14.0,0.0,20181021063101.0,21074^11077
12,44.0,5.0,4.0,-1.5,0.8695652173913043,1.5,0.8,,,,,6,3,23.0,23,21,17.0,6,16,,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,2.0,14.0,0.0,20181021063105.0,11081.0
13,44.0,5.0,4.0,-1.5,0.8695652173913043,1.5,0.8,,^,,,6,3,23.0,23,21,17.0,6,16,3.0,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,2.0,14.0,0.0,20181021063105.0,11077^11081
14,44.0,5.0,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,,^,,,6,3,23.0,23,21,17.0,6,16,3.0,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,2.0,5.0,0.0,20181021063248.0,11077^11081
15,44.0,5.0,4.0,-1.5,0.0,1.5,0.0,3.0,^,,,6,3,23.0,23,21,17.0,6,16,3.0,4,2,,4,3,81.0,54.5,84.2,70,72,0,1,1.0,56.0,0.0,20181021063256.0,11077^11081
16,44.0,5.0,4.0,-1.5,0.0,1.5,0.0,3.0,^,,,6,3,24.0,23,21,17.0,6,16,3.0,4,2,,4,3,81.0,54.5,84.2,72,72,0,1,1.0,53.0,0.0,20181021063259.0,11074^21077
17,44.0,5.0,4.0,-1.5,0.0,1.5,0.0,3.0,^,,,6,3,24.0,23,21,17.0,6,16,3.0,4,2,,4,3,81.0,54.5,84.2,72,72,0,1,1.0,44.0,0.0,20181021063308.0,11074^21077
