,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,226.5,0.7692307692307693,226.5,1.0,,,,10,12.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,103.0,0,1,2.0,48.0,1,20181021022829,11077,4.5,0.15384615384615385
1,,,4.0,5.5,0.9090909090909091,-5.5,0.8333333333333334,226.5,0.7692307692307693,226.5,1.0,,,,10,12.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,103.0,0,1,2.0,39.0,1,20181021022837.0,11077,4.5,0.15384615384615385
2,,,4.0,5.5,0.9523809523809523,-5.5,0.8,226.5,0.7692307692307693,226.5,1.0,,,,10,12.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,103.0,0,1,2.0,30.0,1,20181021022846.0,11077,8.25,0.07142857142857142
3,,,4.0,5.5,0.9523809523809523,-5.5,0.8,226.5,0.7692307692307693,226.5,1.0,,,,10,12.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,103.0,0,1,2.0,25.0,1,20181021022852.0,11094.0,8.25,0.07142857142857142
4,,,4.0,4.5,1.05,-4.5,0.7407407407407407,226.5,0.7692307692307693,226.5,1.0,,,,10,12.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,106.0,0,1,2.0,18.0,1,20181021022859.0,21077.0,6.0,0.10526315789473684
5,,,4.0,4.5,1.05,-4.5,0.7407407407407407,226.5,0.7692307692307693,226.5,1.0,,,,10,13.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,106.0,0,1,2.0,18.0,1,20181021022859.0,11077.0,6.0,0.10526315789473684
6,,,4.0,4.5,1.05,-4.5,0.7407407407407407,226.5,0.7692307692307693,226.5,1.0,,,,10,13.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,106.0,0,1,2.0,9.0,1,20181021022907.0,11077.0,6.0,0.10526315789473684
7,,,4.0,4.5,1.05,-4.5,0.7407407407407407,226.5,0.7692307692307693,226.5,1.0,,,,10,13.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,106.0,0,1,2.0,1.0,1,20181021022916.0,11077.0,3.6,0.2
8,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,,10,13.0,26.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,109,106.0,0,1,1.0,57.0,0.0,20181021022919.0,11077.0,3.6,0.2
9,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,^,,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,111,106.0,0,1,1.0,57.0,0.0,20181021022920.0,11074^21077,5.0,0.13333333333333333
10,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,111,106.0,0,1,1.0,57.0,0.0,20181021022921.0,21077.0,5.0,0.13333333333333333
11,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,111,106.0,0,1,1.0,57.0,1.0,20181021022923.0,21077.0,5.0,0.13333333333333333
12,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,3.0,4.0,79.4,77.8,111,106.0,0,1,1.0,51.0,0.0,20181021022929.0,21077.0,5.25,0.125
13,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,^,1.0,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,4.0,4.0,79.4,77.8,111,106.0,0,1,1.0,51.0,0.0,20181021022930.0,11086^21077,5.25,0.125
14,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:2,1.0,10,13.0,27.0,23.0,27.0,21.0,2.0,1.0,4.0,4.0,79.4,77.8,111,106.0,0,1,1.0,51.0,0.0,20181021022932.0,21078.0,4.25,0.16666666666666666
15,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:2^2:2,1.0,10,13.0,27.0,23.0,27.0,22.0,2.0,1.0,4.0,4.0,79.4,78.6,111,107.0,0,1,1.0,51.0,0.0,20181021023024.0,21079^21078,3.9,0.18181818181818182
16,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,2:2^,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,51.0,0.0,20181021023044.0,21079^11077,3.6,0.2
17,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,51.0,1.0,20181021023045.0,11077.0,3.6,0.2
18,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,51.0,0.0,20181021023045.0,11077.0,3.6,0.2
19,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,51.0,1.0,20181021023047.0,11077.0,3.6,0.2
20,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,42.0,1.0,20181021023056.0,11077.0,3.9,0.18181818181818182
21,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,27.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,111,108.0,0,1,1.0,34.0,1.0,20181021023104.0,11077.0,3.9,0.18181818181818182
22,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,^,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,1.0,33.0,1.0,20181021023106.0,11074^21077,6.0,0.10526315789473684
23,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,1.0,24.0,1.0,20181021023115.0,21077.0,6.5,0.09523809523809523
24,,,4.0,5.5,0.0,-5.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,1.0,15.0,1.0,20181021023123.0,11077.0,10.25,0.05555555555555555
25,,,4.0,5.5,0.0,-5.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,1.0,7.0,1.0,20181021023132.0,11077.0,12.25,0.04
26,,,4.0,5.5,0.0,-5.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,1.0,3.0,1.0,20181021023136.0,11095.0,14.25,0.03333333333333333
27,,,4.0,4.5,0.0,-4.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,23.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,108.0,0,1,0.0,56.0,0.0,20181021023142.0,21077.0,8.25,0.07142857142857142
28,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,^,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023145.0,21074^11077,5.5,0.11764705882352941
29,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023145.0,11077.0,5.5,0.11764705882352941
30,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023151.0,21077.0,5.5,0.11764705882352941
31,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:1,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023152.0,21078.0,3.3,0.2222222222222222
32,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:1,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023204.0,21078.0,3.2,0.23529411764705882
33,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:1,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,3.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023205.0,21078.0,3.2,0.23529411764705882
34,,,4.0,3.5,0.0,-3.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:1,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,3.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023225.0,21078.0,3.2,0.23529411764705882
35,,,4.0,1.5,0.0,-1.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,^,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023240.0,11086^21077,1.6,0.5263157894736842
36,,,4.0,1.5,0.0,-1.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,1:1,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,110.0,0,1,0.0,56.0,0.0,20181021023241.0,21078.0,1.75,0.45454545454545453
37,,,4.0,1.5,0.0,-1.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,111.0,0,1,0.0,56.0,0.0,20181021023308.0,11077.0,1.75,0.45454545454545453
38,,,4.0,1.5,0.0,-1.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,111.0,0,1,0.0,56.0,1.0,20181021023313.0,11077.0,1.75,0.45454545454545453
39,,,4.0,1.5,0.0,-1.5,0.0,226.5,0.7692307692307693,226.5,1.0,3.0,,1.0,10,13.0,28.0,24.0,27.0,23.0,2.0,1.0,4.0,4.0,79.4,79.3,113,111.0,0,1,0.0,47.0,1.0,20181021023322.0,11077.0,1.75,0.45454545454545453
