,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,118.5,0.8333333333333334,118.5,0.8333333333333334,,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,9.0,29.0,1,20181021022417,11077,0.004,17.0
1,,,4.0,-16.5,0.8695652173913043,16.5,0.8,118.5,0.7692307692307693,118.5,0.9090909090909091,,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,9.0,20.0,1,20181021022426.0,11077,0.004,17.0
2,,,4.0,-16.5,0.8695652173913043,16.5,0.8,117.5,0.8333333333333334,117.5,0.8333333333333334,,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,9.0,12.0,1,20181021022434.0,11077,0.004,17.0
3,,,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,117.5,0.7692307692307693,117.5,0.9090909090909091,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,9.0,6.0,1,20181021022441.0,21077.0,0.004,17.0
4,,,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,116.5,0.9090909090909091,116.5,0.7692307692307693,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,9.0,2.0,1,20181021022445.0,21077.0,0.004,17.0
5,,,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,116.5,0.8333333333333334,116.5,0.8333333333333334,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,8.0,56.0,1,20181021022450.0,21094.0,0.004,17.0
6,,,4.0,-16.5,0.8695652173913043,16.5,0.8,116.5,0.8333333333333334,116.5,0.8333333333333334,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,8.0,56.0,1,20181021022450.0,11077.0,0.004,17.0
7,,,4.0,-16.5,0.8695652173913043,16.5,0.8,115.5,0.9090909090909091,115.5,0.7692307692307693,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,8.0,48.0,1,20181021022458.0,11077.0,0.004,17.0
8,,,4.0,-16.5,0.8695652173913043,16.5,0.8,115.5,0.9090909090909091,115.5,0.7692307692307693,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,8.0,47.0,1,20181021022459.0,11077.0,0.004,17.0
9,,,4.0,-16.5,0.8,16.5,0.8695652173913043,115.5,0.9090909090909091,115.5,0.7692307692307693,5.0,,,1.0,5,10.0,12.0,12.0,15.0,2.0,3.0,2.0,1.0,70.6,65.2,35,52,0,1,8.0,47.0,1,20181021022500.0,21077.0,0.004,17.0
