,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8695652173913043,211.5,0.8,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,58.0,1,20181021134426,21077,7.25,0.05555555555555555
1,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,57.0,1,20181021134427.0,21077,7.25,0.05555555555555555
2,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,56.0,1,20181021134428.0,21077,7.25,0.05555555555555555
3,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,55.0,1,20181021134429.0,21077,7.25,0.05555555555555555
4,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,54.0,1,20181021134430.0,21077,7.25,0.05555555555555555
5,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,53.0,1,20181021134431.0,21077,7.25,0.05555555555555555
6,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,52.0,1,20181021134432.0,21077,7.25,0.05555555555555555
7,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,51.0,1,20181021134433.0,21077,7.25,0.05555555555555555
8,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8333333333333334,211.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,51.0,1,20181021134434.0,21077,7.25,0.05555555555555555
9,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,211.5,0.8,211.5,0.8695652173913043,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,50.0,1,20181021134434.0,21077,7.25,0.05555555555555555
10,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,210.5,0.8333333333333334,210.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,42.0,1,20181021134442.0,21077,7.25,0.05555555555555555
11,,,,3.0,12.5,0.8695652173913043,-12.5,0.8,209.5,0.8333333333333334,209.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,33.0,1,20181021134451.0,21077,7.25,0.05555555555555555
12,,,,3.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,208.5,0.8695652173913043,208.5,0.8,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,25.0,1,20181021134459.0,21077,7.25,0.05555555555555555
13,,,,3.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,208.5,0.8,208.5,0.8695652173913043,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,17.0,1,20181021134508.0,21077,7.25,0.05555555555555555
14,,,,3.0,13.5,0.7692307692307693,-13.5,0.9090909090909091,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,8.0,1,20181021134516.0,21077,7.25,0.05555555555555555
15,,,,3.0,13.5,0.7692307692307693,-13.5,0.9090909090909091,207.5,0.8333333333333334,207.5,0.8333333333333334,,,,,11.0,2.0,13.0,15.0,9.0,13.0,4.0,3.0,3.0,0.0,75.0,81.2,68,51.0,0,1,8.0,6.0,1,20181021134518.0,21077,7.25,0.05555555555555555
