,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,131.5,0.8695652173913043,131.5,0.8,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,2.0,70.0,62.5,32.0,41,0,1,5.0,8.0,1,20181022020320,21077,0.16666666666666666,3.5
1,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,2.0,70.0,62.5,32.0,41,0,1,5.0,0.0,1,20181022020329.0,21077,0.16666666666666666,3.5
2,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,2.0,70.0,62.5,32.0,41,0,1,4.0,59.0,0.0,20181022020330.0,21077,0.16666666666666666,3.5
3,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,,,^,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,59.0,0.0,20181022020331.0,21086^11077,0.21052631578947367,3.25
4,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,59.0,1.0,20181022020346.0,11077.0,0.21052631578947367,3.25
5,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,131.5,0.8,131.5,0.8695652173913043,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,50.0,1.0,20181022020354.0,11077.0,0.21052631578947367,3.25
6,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,44.0,1.0,20181022020401.0,21077.0,0.16666666666666666,3.5
7,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,43.0,1.0,20181022020402.0,11077.0,0.21052631578947367,3.25
8,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,,,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,3.0,70.0,62.5,32.0,41,0,1,4.0,42.0,0.0,20181022020403.0,11077.0,0.21052631578947367,3.25
9,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,^,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,70.0,62.5,32.0,41,0,1,4.0,42.0,0.0,20181022020408.0,21086^11077,0.21052631578947367,3.25
10,,,,3.0,-7.5,0.8695652173913043,7.5,0.8,131.5,0.8,131.5,0.8695652173913043,,,1:2,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,70.0,62.5,32.0,41,0,1,4.0,42.0,0.0,20181022020410.0,11078.0,0.2222222222222222,3.0
11,,,,3.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,,,1:2^2:2,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,63.6,62.5,32.0,41,0,1,4.0,42.0,0.0,20181022020443.0,11080^11078,0.2,3.3
12,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,2:2^,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,58.3,62.5,32.0,41,0,1,4.0,42.0,1.0,20181022020456.0,11080^21077,0.16666666666666666,3.5
13,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,129.5,0.8695652173913043,129.5,0.8,,,,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,58.3,62.5,32.0,41,0,1,4.0,41.0,1.0,20181022020457.0,21077.0,0.16666666666666666,3.5
14,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,129.5,0.8,129.5,0.8695652173913043,,,,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,58.3,62.5,32.0,41,0,1,4.0,32.0,1.0,20181022020506.0,21077.0,0.16666666666666666,3.5
15,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,58.3,62.5,32.0,41,0,1,4.0,24.0,1.0,20181022020514.0,21077.0,0.16666666666666666,3.5
16,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,4.0,4.0,58.3,62.5,32.0,41,0,1,4.0,24.0,0.0,20181022020515.0,21077.0,0.16666666666666666,3.5
17,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,^,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,5.0,4.0,58.3,62.5,32.0,41,0,1,4.0,24.0,0.0,20181022020519.0,11086^21077,0.16666666666666666,3.5
18,,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,1:2,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,5.0,4.0,58.3,62.5,32.0,41,0,1,4.0,24.0,0.0,20181022020523.0,21078.0,0.15384615384615385,3.75
19,,,,3.0,-8.5,0.8,8.5,0.8695652173913043,130.5,0.8,130.5,0.8695652173913043,,,1:2,1.0,3.0,5.0,8.0,9.0,7.0,5.0,5.0,1.0,5.0,4.0,58.3,62.5,32.0,42,0,1,4.0,24.0,0.0,20181022020538.0,21078.0,0.14285714285714285,4.0
