,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,11.5,0.8695652173913043,-11.5,0.8,184.5,0.7692307692307693,184.5,0.9090909090909091,,,6.0,8.0,19.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,82,72,0,1,6.0,55.0,1,20181023004355,11077,9.5,0.025
1,,,4.0,11.5,0.8695652173913043,-11.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,,,6.0,8.0,19.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,82,72,0,1,6.0,46.0,1,20181023004403.0,11077,9.5,0.025
2,,,4.0,11.5,0.8695652173913043,-11.5,0.8,182.5,0.9090909090909091,182.5,0.7692307692307693,,,6.0,8.0,19.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,82,72,0,1,6.0,38.0,1,20181023004411.0,11077,9.5,0.025
3,,,4.0,12.5,0.8695652173913043,-12.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,,^,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,6.0,34.0,1,20181023004415.0,11074^21077,11.0,0.015151515151515152
4,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,184.5,0.7692307692307693,184.5,0.9090909090909091,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,6.0,25.0,1,20181023004423.0,21077.0,11.0,0.015151515151515152
5,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,183.5,0.8333333333333334,183.5,0.8333333333333334,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,6.0,17.0,1,20181023004432.0,21077.0,11.0,0.015151515151515152
6,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,182.5,0.8695652173913043,182.5,0.8,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,6.0,8.0,1,20181023004440.0,21077.0,11.5,0.013333333333333334
7,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,182.5,0.8,182.5,0.8695652173913043,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,6.0,4.0,1,20181023004445.0,21095.0,11.5,0.013333333333333334
8,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,181.5,0.8695652173913043,181.5,0.8,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,5.0,55.0,1,20181023004454.0,21077.0,11.5,0.013333333333333334
9,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,181.5,0.8333333333333334,181.5,0.8333333333333334,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,2.0,1.0,92.9,69.6,84,72,0,1,5.0,53.0,0.0,20181023004456.0,21077.0,11.5,0.013333333333333334
