,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,208.5,0.8695652173913043,208.5,0.8695652173913043,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,55.0,0,20181025011642,11077,0.18181818181818182,3.9
1,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,208.5,0.8695652173913043,208.5,0.8695652173913043,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,55.0,1.0,20181025011659.0,11077,0.18181818181818182,3.9
2,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,208.5,0.8695652173913043,208.5,0.8695652173913043,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,53.0,0.0,20181025011700.0,11077,0.18181818181818182,3.9
3,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,208.5,0.8695652173913043,208.5,0.8695652173913043,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,53.0,1.0,20181025011716.0,11077,0.18181818181818182,3.9
4,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,207.5,0.9090909090909091,207.5,0.8333333333333334,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,44.0,1.0,20181025011725.0,11077,0.18181818181818182,3.9
5,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,207.5,0.9090909090909091,207.5,0.8333333333333334,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,44.0,1.0,20181025011726.0,11094.0,0.18181818181818182,3.9
6,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,207.5,0.9090909090909091,207.5,0.8333333333333334,,,,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,27.0,35.0,0,1,6.0,43.0,0.0,20181025011726.0,11094.0,0.18181818181818182,3.9
7,,,,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,207.5,0.9090909090909091,207.5,0.8333333333333334,,,^,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,2.0,100.0,0.0,27.0,35.0,0,1,6.0,43.0,0.0,20181025011739.0,21086^11077,0.18181818181818182,3.9
8,,,,2.0,-9.5,0.8695652173913043,9.5,0.8695652173913043,210.5,0.8695652173913043,210.5,0.8695652173913043,,,1:3,,4.0,3.0,7.0,13.0,1.0,0.0,5.0,4.0,2.0,2.0,100.0,0.0,27.0,35.0,0,1,6.0,43.0,0.0,20181025011751.0,11078.0,0.2,3.6
9,,,,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,210.5,0.8695652173913043,210.5,0.8695652173913043,,,1:3^2:3,,4.0,3.0,7.0,13.0,2.0,0.0,5.0,4.0,2.0,2.0,100.0,0.0,28.0,35.0,0,1,6.0,43.0,0.0,20181025011754.0,11079^11078,0.2,3.6
