,ED,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,0,1,0,30.0,0,20181025155440,11077
1,,,,,0,1,0,29.0,0,20181025155546.0,11077
2,,,,,0,1,0,20.0,0,20181025155554.0,11077
3,,,,,0,1,0,12.0,0,20181025155603.0,11077
4,,,,,0,1,0,10.0,0,20181025155605.0,21077.0
5,,,,,0,1,0,1.0,0,20181025155613.0,21077.0
6,,,,,0,1,0,0.0,0.0,20181025155615.0,21077.0
7,,,,,0,1,0,0.0,0.0,20181025155617.0,21077.0
8,,^,74.0,63.0,0,1,0,0.0,0.0,20181025155638.0,21075^11077
9,,^,74.0,63.0,0,1,0,0.0,0.0,20181025155643.0,21075^11077
10,,,74.0,63.0,0,1,0,0.0,0.0,20181025155643.0,1084.0
