,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,43.0,0,20181026015532,11081,0.3333333333333333,2.25
1,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,43.0,0,20181026015846.0,21077.0,0.3333333333333333,2.25
2,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,43.0,1.0,20181026015846.0,21077.0,0.3333333333333333,2.25
3,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,205.5,0.8333333333333334,205.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,37.0,1.0,20181026015852.0,21094.0,0.3333333333333333,2.25
4,,,,2.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,28.0,1.0,20181026015901.0,11077.0,0.35714285714285715,2.05
5,,,,2.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,204.5,0.8333333333333334,204.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,20.0,1.0,20181026015909.0,11095.0,0.35714285714285715,2.05
6,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,204.5,0.8,204.5,0.8695652173913043,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,20.0,1.0,20181026015910.0,21077.0,0.3333333333333333,2.25
7,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,1.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,13.0,0.0,20181026015915.0,21077.0,0.3333333333333333,2.25
8,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,203.5,0.8333333333333334,203.5,0.8333333333333334,,,^,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,13.0,0.0,20181026015919.0,11086^21077,0.3333333333333333,2.25
9,,,,2.0,-5.5,0.8,5.5,0.8695652173913043,203.5,0.8333333333333334,203.5,0.8333333333333334,,,^,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,13.0,1.0,20181026015947.0,11086^21077,0.3333333333333333,2.25
10,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,6.0,1.0,20181026015954.0,21095.0,0.3333333333333333,2.25
11,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,203.5,0.8333333333333334,203.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,6.0,6.0,1.0,20181026015955.0,21095.0,0.3333333333333333,2.25
12,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,5.0,57.0,1.0,20181026020003.0,21095.0,0.3448275862068966,2.15
13,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,2.0,100.0,60.0,27.0,37.0,0,1,5.0,56.0,0.0,20181026020004.0,21095.0,0.3448275862068966,2.15
14,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,^,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,100.0,60.0,27.0,37.0,0,1,5.0,56.0,0.0,20181026020012.0,21086^11077,0.3448275862068966,2.15
15,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,204.5,0.8,204.5,0.8695652173913043,,,1:2,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,100.0,60.0,27.0,37.0,0,1,5.0,56.0,0.0,20181026020014.0,11078.0,0.37037037037037035,1.95
16,,,,2.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,203.5,0.8333333333333334,203.5,0.8333333333333334,,,1:2^2:2,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,50.0,60.0,27.0,37.0,0,1,5.0,56.0,0.0,20181026020027.0,11080^11078,0.3448275862068966,2.15
17,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,2:2^,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,33.3,60.0,27.0,37.0,0,1,5.0,56.0,1.0,20181026020040.0,11080^21077,0.3333333333333333,2.25
18,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,202.5,0.8333333333333334,202.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,33.3,60.0,27.0,37.0,0,1,5.0,55.0,1.0,20181026020041.0,21077.0,0.3333333333333333,2.25
19,,,,2.0,-6.5,0.8695652173913043,6.5,0.8,201.5,0.8333333333333334,201.5,0.8333333333333334,,,,,0.0,1.0,13.0,14.0,1.0,6.0,4.0,5.0,2.0,3.0,33.3,60.0,27.0,37.0,0,1,5.0,46.0,1.0,20181026020049.0,21077.0,0.3333333333333333,2.25
20,,,,2.0,-6.5,0.8,6.5,0.8695652173913043,203.5,0.8333333333333334,203.5,0.8333333333333334,21.0,,^,,0.0,1.0,13.0,15.0,1.0,6.0,4.0,5.0,2.0,3.0,33.3,60.0,27.0,39.0,0,1,5.0,45.0,1.0,20181026020050.0,21074^11077,0.26666666666666666,2.65
