,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,4.5,0.0,-4.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,37.0,0,20181026015812,11077
1,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,37.0,0,20181026015814.0,11077
2,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,37.0,1.0,20181026015824.0,11077
3,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,37.0,1.0,20181026015825.0,21077.0
4,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,28.0,1.0,20181026015833.0,21077.0
5,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,20.0,1.0,20181026015842.0,21077.0
6,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,18.0,0.0,20181026015843.0,21077.0
7,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,18.0,0.0,20181026015845.0,11086.0
8,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,18.0,0.0,20181026015846.0,11086.0
9,,,4.0,3.5,0.0,-3.5,0.0,,1:2,,6,21,,13,,2,,3,,61.9,73,,0,1,1.0,18.0,0.0,20181026015855.0,21078.0
10,,,4.0,3.5,0.0,-3.5,0.0,,^1:2,,6,21,,13,,2,4.0,3,,61.9,73,,0,1,1.0,18.0,0.0,20181026015856.0,11086^21078
11,,,4.0,3.5,0.0,-3.5,0.0,,1:2^2:2,,6,21,,13,,2,4.0,3,,61.9,73,70.0,0,1,1.0,18.0,0.0,20181026015915.0,21079^21078
12,,,4.0,3.5,0.0,-3.5,0.0,,1:2^2:2,,6,21,,13,,2,4.0,3,,61.9,73,70.0,0,1,1.0,23.0,0.0,20181026015920.0,21079^21078
13,,,4.0,3.5,0.0,-3.5,0.0,,1:2^2:2,,6,21,,13,,2,4.0,3,,61.9,73,70.0,0,1,1.0,21.0,0.0,20181026015920.0,21079^21078
14,,,4.0,3.5,0.0,-3.5,0.0,,1:2^2:2,,6,21,,13,,2,4.0,3,,61.9,73,70.0,0,1,1.0,19.0,0.0,20181026015921.0,21079^21078
15,,,4.0,2.5,0.0,-2.5,0.0,,2:2,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,19.0,0.0,20181026015926.0,21079.0
16,,,4.0,2.5,0.0,-2.5,0.0,,2:2,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,19.0,1.0,20181026015929.0,21079.0
17,,,4.0,2.5,0.0,-2.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,10.0,1.0,20181026015938.0,11077.0
18,,,4.0,2.5,0.0,-2.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026015943.0,11077.0
19,,,4.0,2.5,0.0,-2.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026015946.0,21086.0
20,,,4.0,2.5,0.0,-2.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026015947.0,21086.0
21,,,4.0,2.5,0.0,-2.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026020007.0,21086.0
22,,,4.0,3.5,0.0,-3.5,0.0,,,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026020018.0,21086.0
23,,,4.0,3.5,0.0,-3.5,0.0,,^1:2,,6,21,,13,,2,4.0,3,,61.9,73,71.0,0,1,1.0,4.0,0.0,20181026020018.0,21086^11078
