,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,14.5,0.9090909090909091,-14.5,0.7692307692307693,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,1.0,0.0,75.0,78.6,65,52,0,1,4.0,42.0,1,20181026015544,21077,9.0,0.030303030303030304
1,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,1.0,0.0,75.0,78.6,65,52,0,1,4.0,33.0,1,20181026015552.0,21077,9.0,0.030303030303030304
2,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,1.0,0.0,75.0,78.6,65,52,0,1,4.0,31.0,0.0,20181026015554.0,21077,9.0,0.030303030303030304
3,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,1.0,0.0,75.0,78.6,65,52,0,1,4.0,31.0,0.0,20181026015600.0,11086.0,9.0,0.030303030303030304
4,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,1.0,0.0,75.0,78.6,65,52,0,1,4.0,31.0,0.0,20181026015603.0,11086.0,9.0,0.030303030303030304
5,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,31.0,1.0,20181026015616.0,11086.0,9.0,0.030303030303030304
6,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,177.5,0.8695652173913043,177.5,0.8,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,22.0,1.0,20181026015625.0,11086.0,9.0,0.030303030303030304
7,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,16.0,0.0,20181026015632.0,11086.0,9.0,0.030303030303030304
8,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,16.0,0.0,20181026015636.0,11086.0,10.0,0.02
9,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,16.0,1.0,20181026015648.0,11086.0,10.0,0.02
10,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,176.5,0.8333333333333334,176.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,4.0,7.0,1.0,20181026015657.0,11086.0,10.0,0.02
11,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,176.5,0.8,176.5,0.8695652173913043,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,3.0,59.0,1.0,20181026015705.0,11086.0,10.0,0.02
12,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,175.5,0.8695652173913043,175.5,0.8,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,3.0,58.0,1.0,20181026015705.0,21077.0,9.0,0.030303030303030304
13,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,3.0,52.0,0.0,20181026015712.0,21077.0,9.0,0.030303030303030304
14,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,3.0,52.0,0.0,20181026015715.0,21077.0,10.0,0.02
15,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,12.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,65,52,0,1,3.0,52.0,1.0,20181026015727.0,21077.0,10.0,0.02
16,,,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,178.5,0.8333333333333334,178.5,0.8333333333333334,,,^,,13.0,7.0,13.0,10.0,3.0,11.0,3,3.0,2.0,0.0,75.0,78.6,68,52,0,1,3.0,45.0,1.0,20181026015733.0,11075^21077,13.0,0.011111111111111112
