,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,13.5,0.8,-13.5,0.8695652173913043,231.5,0.8695652173913043,231.5,0.8,,,6.0,11,33,19.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,100,0,1,3.0,47.0,1,20181026142747,21077
1,,,4.0,13.5,0.8,-13.5,0.8695652173913043,231.5,0.7142857142857143,231.5,1.0,,,6.0,11,33,19.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,100,0,1,3.0,39.0,1,20181026142755.0,21077
2,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.8695652173913043,232.5,0.8,,,6.0,11,33,19.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,102,0,1,3.0,35.0,1,20181026142759.0,21077
3,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.8695652173913043,232.5,0.8,,,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,102,0,1,3.0,35.0,1,20181026142759.0,11077.0
4,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.7142857142857143,232.5,1.0,,,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,102,0,1,3.0,26.0,1,20181026142808.0,11077.0
5,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,,,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,102,0,1,3.0,18.0,1,20181026142816.0,11077.0
6,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.7692307692307693,231.5,0.9090909090909091,,,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,5.0,81.8,87.5,114,102,0,1,3.0,16.0,0.0,20181026142818.0,11077.0
7,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.7692307692307693,231.5,0.9090909090909091,,^,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,6.0,81.8,87.5,114,102,0,1,3.0,16.0,0.0,20181026142840.0,21086^11077
8,,,4.0,12.5,0.9090909090909091,-12.5,0.7692307692307693,232.5,0.8333333333333334,232.5,0.8333333333333334,,1:2,6.0,11,33,20.0,18.0,14.0,2,2.0,6.0,6.0,78.3,87.5,114,102,0,1,3.0,16.0,0.0,20181026142840.0,11078.0
9,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.7692307692307693,232.5,0.9090909090909091,,2:2^,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,3.0,16.0,0.0,20181026142858.0,11079^21077
10,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.7692307692307693,232.5,0.9090909090909091,,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,3.0,16.0,0.0,20181026142859.0,21077.0
11,,,4.0,12.5,0.8,-12.5,0.8695652173913043,232.5,0.7692307692307693,232.5,0.9090909090909091,,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,3.0,16.0,1.0,20181026142902.0,21077.0
12,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,3.0,7.0,1.0,20181026142911.0,21077.0
13,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,59.0,1.0,20181026142919.0,21077.0
14,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,54.0,1.0,20181026142924.0,21095.0
15,,,4.0,13.5,0.8,-13.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,5.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,45.0,1.0,20181026142933.0,11077.0
16,,,4.0,13.5,0.8,-13.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,5.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,37.0,1.0,20181026142941.0,11077.0
17,,,4.0,13.5,0.8,-13.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,5.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,29.0,1.0,20181026142948.0,11094.0
18,,,4.0,12.5,0.8,-12.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,20.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,102,0,1,2.0,29.0,1.0,20181026142949.0,21077.0
19,,,4.0,11.5,0.8,-11.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,^,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,23.0,1.0,20181026142955.0,21074^11077
20,,,4.0,11.5,0.8,-11.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,14.0,1.0,20181026143004.0,11077.0
21,,,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,5.0,1.0,20181026143012.0,11077.0
