,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,17.5,0.7692307692307693,-17.5,0.9090909090909091,,,,,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,85,0,1,2.0,13.0,0,20181026142735,11077
1,,,4.0,17.5,0.7692307692307693,-17.5,0.9090909090909091,,,,,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,85,0,1,2.0,13.0,1.0,20181026142751.0,11077
2,,,4.0,17.5,0.7692307692307693,-17.5,0.9090909090909091,,,,,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,85,0,1,2.0,12.0,1.0,20181026142752.0,11077
3,,,4.0,16.5,0.7692307692307693,-16.5,0.9090909090909091,,,,,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,85,0,1,2.0,11.0,1.0,20181026142752.0,21077.0
4,,,4.0,14.5,0.7692307692307693,-14.5,0.9090909090909091,,^,,8.0,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,88,0,1,2.0,3.0,1.0,20181026142800.0,21075^11077
5,,,4.0,14.5,0.7692307692307693,-14.5,0.9090909090909091,,^,,8.0,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,88,0,1,2.0,2.0,1.0,20181026142801.0,21075^11077
6,,,4.0,14.5,0.7692307692307693,-14.5,0.9090909090909091,,,,8.0,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,88,0,1,2.0,2.0,1.0,20181026142802.0,11077.0
7,,,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,0.0,20181026142805.0,11077.0
8,,,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,0.0,20181026142806.0,11077.0
9,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,0.0,20181026142808.0,11081.0
10,44.0,5.0,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,0.0,20181026142809.0,11081.0
11,,,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,1.0,20181026142938.0,11077.0
12,,,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,57.0,1.0,20181026142939.0,11077.0
13,,,4.0,14.5,0.0,-14.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,101,88,0,1,1.0,58.0,1.0,20181026142939.0,11077.0
14,,,4.0,16.5,0.0,-16.5,0.0,1.0,^,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,104,88,0,1,1.0,49.0,1.0,20181026142947.0,11075^21077
15,,,4.0,16.5,0.0,-16.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,104,88,0,1,1.0,48.0,1.0,20181026142948.0,21077.0
16,,,4.0,16.5,0.0,-16.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,104,88,0,1,1.0,42.0,0.0,20181026142954.0,21077.0
17,,,4.0,16.5,0.0,-16.5,0.0,1.0,,,8.0,7,7,,34,22,,8,17,1.0,2,3,,7,3,,44.4,73.9,104,88,0,1,1.0,42.0,0.0,20181026142955.0,21077.0
