,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,39.0,1,20181027142528,11077,1.25,0.5714285714285714
1,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,128.5,0.8,128.5,0.8695652173913043,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,31.0,1,20181027142536.0,11077,1.25,0.5714285714285714
2,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,27.0,1,20181027142540.0,11095.0,1.25,0.5714285714285714
3,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,18.0,1,20181027142548.0,21077.0,1.2,0.625
4,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,15.0,1,20181027142552.0,21077.0,1.2,0.625
5,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8333333333333334,127.5,0.8333333333333334,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,13.0,1,20181027142554.0,21095.0,1.2,0.625
6,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,4.0,1,20181027142602.0,11077.0,1.25,0.5714285714285714
7,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,2.0,75.0,60.0,22.0,24.0,0,1,4.0,3.0,0.0,20181027142604.0,11077.0,1.25,0.5714285714285714
8,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,^,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,3.0,75.0,60.0,22.0,24.0,0,1,4.0,3.0,0.0,20181027142611.0,21086^11077,1.25,0.5714285714285714
9,,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,127.5,0.8,127.5,0.8695652173913043,,,^,,1.0,3.0,8.0,6.0,3.0,3.0,4.0,5.0,0.0,3.0,75.0,60.0,22.0,24.0,0,1,4.0,3.0,1.0,20181027142625.0,21086^11077,1.25,0.5714285714285714
