,ED,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,18.0,1,20181027164234,11077
1,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,9.0,1,20181027164243.0,11077
2,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,7.0,0.0,20181027164245.0,11077
3,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,7.0,0.0,20181027164246.0,11077
4,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,7.0,1.0,20181027164256.0,11077
5,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,6.0,1.0,20181027164256.0,11077
6,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,10.0,1.0,20181027164257.0,21077.0
7,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,6.0,1.0,20181027164300.0,11077.0
8,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,6.0,1.0,20181027164307.0,11077.0
9,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,6.0,1.0,20181027164325.0,11077.0
10,,6,7,18,10,8,9,1,1,4,3,66.7,64.3,61,50,0,1,0,6.0,1.0,20181027164325.0,1084.0
