,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,3.0,39.5,0.8,-39.5,0.8695652173913043,121.5,0.7692307692307693,121.5,0.9090909090909091,,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,42.0,1,20181026170326,11077
1,,3.0,39.5,0.8,-39.5,0.8695652173913043,121.5,0.7692307692307693,121.5,0.9090909090909091,,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,41.0,1,20181026170326,11077
2,,3.0,39.5,0.8,-39.5,0.8695652173913043,120.5,0.8333333333333334,120.5,0.8333333333333334,,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,33.0,1,20181026170334.0,11077
3,,3.0,39.5,0.8,-39.5,0.8695652173913043,120.5,0.8333333333333334,120.5,0.8333333333333334,,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,33.0,1,20181026170335.0,11095.0
4,,3.0,38.5,0.8,-38.5,0.8695652173913043,120.5,0.8333333333333334,120.5,0.8333333333333334,5.0,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,33.0,1,20181026170336.0,21077.0
5,,3.0,38.5,0.7692307692307693,-38.5,0.9090909090909091,120.5,0.7692307692307693,120.5,0.9090909090909091,5.0,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,24.0,1,20181026170344.0,21077.0
6,,3.0,38.5,0.7692307692307693,-38.5,0.9090909090909091,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,,,,5.0,2,17.0,8.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,27.0,0,1,1.0,16.0,1,20181026170352.0,21077.0
7,,3.0,37.5,0.7692307692307693,-37.5,0.9090909090909091,121.5,0.8695652173913043,121.5,0.8,5.0,,^,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,1.0,14.0,1,20181026170354.0,21074^11077
8,,3.0,37.5,0.7692307692307693,-37.5,0.9090909090909091,121.5,0.8695652173913043,121.5,0.8,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,1.0,14.0,1,20181026170355.0,11077.0
9,,3.0,36.5,0.9090909090909091,-36.5,0.7692307692307693,121.5,0.8,121.5,0.8695652173913043,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,1.0,5.0,1,20181026170403.0,11077.0
10,,3.0,36.5,0.9090909090909091,-36.5,0.7692307692307693,120.5,0.8695652173913043,120.5,0.8,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,0.0,57.0,1,20181026170411.0,11077.0
11,,3.0,35.5,0.9090909090909091,-35.5,0.7692307692307693,120.5,0.8695652173913043,120.5,0.8,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,0.0,57.0,1,20181026170411.0,21077.0
12,,3.0,35.5,0.9090909090909091,-35.5,0.7692307692307693,119.5,0.9090909090909091,119.5,0.7692307692307693,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,0.0,42.0,1,20181026170425.0,21077.0
13,,3.0,35.5,0.8333333333333334,-35.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,0.0,36.0,1,20181026170432.0,21095.0
14,,3.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,119.5,0.7692307692307693,119.5,0.9090909090909091,5.0,,,,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,3.0,75.0,50.0,58,29.0,0,1,0.0,28.0,0.0,20181026170440.0,11077.0
15,,3.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,119.5,0.7692307692307693,119.5,0.9090909090909091,5.0,,^,1.0,5.0,2,17.0,9.0,9.0,5.0,5,3,1.0,4.0,75.0,50.0,58,29.0,0,1,0.0,28.0,0.0,20181026170442.0,21086^11077
