,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-14.5,0.8333333333333334,14.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,,,5.0,5.0,13.0,10.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,46.0,0,1,10.0,0.0,0,20181026175216,01083,0.05555555555555555,7.25
1,,,3.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,^,,5.0,5.0,13.0,10.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,46.0,0,1,10.0,0.0,0,20181026175216,01089^11077,0.030303030303030304,9.0
2,,,3.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,,,5.0,5.0,13.0,10.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,46.0,0,1,9.0,58.0,0,20181026180338.0,21077.0,0.030303030303030304,9.0
3,,,3.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,170.5,0.8,170.5,0.8695652173913043,,,,5.0,5.0,13.0,10.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,46.0,0,1,9.0,49.0,0,20181026180347.0,21077.0,0.04,8.0
4,,,3.0,-16.5,0.8333333333333334,17.5,0.8333333333333334,170.5,0.8,170.5,0.8695652173913043,,^,,5.0,5.0,13.0,11.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,48.0,0,1,9.0,48.0,0,20181026180349.0,21074^11077,0.04,8.0
5,,,3.0,-16.5,0.8333333333333334,17.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,,,,5.0,5.0,13.0,11.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,48.0,0,1,9.0,43.0,0,20181026180354.0,11077.0,0.04,8.0
6,,,3.0,-16.5,0.8333333333333334,17.5,0.8333333333333334,170.5,0.8,170.5,0.8695652173913043,,,,5.0,5.0,13.0,11.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,48.0,0,1,9.0,39.0,0,20181026180358.0,21077.0,0.04,8.0
7,,,3.0,-19.5,0.8333333333333334,19.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,^,,5.0,5.0,13.0,12.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,50.0,0,1,9.0,37.0,0,20181026180400.0,21074^11077,0.015151515151515152,11.0
8,,,3.0,-19.5,0.8333333333333334,19.5,0.8333333333333334,173.5,0.8695652173913043,173.5,0.8,,,,5.0,5.0,13.0,12.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,50.0,0,1,9.0,31.0,0,20181026180406.0,11077.0,0.015151515151515152,11.0
9,,,3.0,-19.5,0.8695652173913043,19.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,5.0,5.0,13.0,12.0,4.0,11.0,3.0,4.0,0.0,0.0,80.0,91.7,45,50.0,0,1,9.0,22.0,0,20181026180415.0,11077.0,0.015151515151515152,11.0
