,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-25.5,1.0,25.5,0.7692307692307693,237.5,0.9523809523809523,237.5,0.8,,,,14.0,12.0,20.0,36.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,121,0,1,5.0,1.0,1,20181027020528,21077
1,4.0,-25.5,1.0,25.5,0.7692307692307693,237.5,0.8,237.5,0.9523809523809523,8.0,^,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,1.0,1,20181027020528.0,21074^11077
2,4.0,-25.5,1.0,25.5,0.7692307692307693,237.5,0.8,237.5,0.9523809523809523,8.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,1.0,1,20181027020531.0,11077.0
3,4.0,-25.5,1.0,25.5,0.7692307692307693,237.5,0.8,237.5,0.9523809523809523,8.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,50.0,1,20181027020539.0,11077.0
4,4.0,-25.5,1.0,25.5,0.7692307692307693,237.5,0.8,237.5,0.9523809523809523,8.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,42.0,1,20181027020548.0,11077.0
5,4.0,-27.5,1.0,27.5,0.7692307692307693,237.5,0.8,237.5,0.9523809523809523,7.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,38.0,1,20181027020552.0,11095.0
6,4.0,-27.5,0.9090909090909091,27.5,0.8333333333333334,237.5,0.8,237.5,0.9523809523809523,7.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,29.0,1,20181027020601.0,21077.0
7,4.0,-27.5,0.9090909090909091,27.5,0.8333333333333334,237.5,0.8,237.5,0.9523809523809523,7.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,24.0,1,20181027020605.0,21077.0
8,4.0,-26.5,0.9090909090909091,26.5,0.8333333333333334,237.5,0.8,237.5,0.9523809523809523,8.0,,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,0.0,72.2,92.9,95,123,0,1,5.0,24.0,1,20181027020606.0,11077.0
9,4.0,-26.5,0.9090909090909091,26.5,0.8333333333333334,237.5,0.8,237.5,0.9523809523809523,7.0,^,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,1.0,72.2,92.9,95,123,0,1,5.0,16.0,0.0,20181027020613.0,21086^11077
10,4.0,-25.5,0.8,25.5,0.9523809523809523,237.5,0.8,237.5,0.9523809523809523,8.0,1:2,,14.0,12.0,20.0,37.0,13.0,13.0,-1,3,0.0,1.0,72.2,92.9,95,123,0,1,5.0,7.0,0.0,20181027020627.0,11078.0
11,4.0,-25.5,0.8695652173913043,25.5,0.8695652173913043,237.5,0.8,237.5,0.9523809523809523,8.0,1:2^2:2,,14.0,12.0,20.0,37.0,14.0,13.0,-1,3,0.0,1.0,73.7,92.9,96,123,0,1,5.0,25.0,0.0,20181027020632.0,11079^11078
