,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-16.5,0.8333333333333334,16.5,0.9090909090909091,240.5,0.9090909090909091,240.5,0.8333333333333334,,,,,7.0,10.0,19.0,21.0,11.0,13.0,2.0,4.0,1.0,2.0,91.7,92.9,70.0,85.0,0,1,6.0,44.0,0,20181027020505,11079^11078,0.02857142857142857,14.5
1,,,,3.0,-16.5,0.8695652173913043,16.5,0.8695652173913043,240.5,0.9090909090909091,240.5,0.8333333333333334,,,2:2^,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,44.0,0,20181027020533.0,11079^21077,0.02857142857142857,14.5
2,,,,3.0,-16.5,0.8695652173913043,16.5,0.8695652173913043,240.5,0.9090909090909091,240.5,0.8333333333333334,,,,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,44.0,1.0,20181027020533.0,21077.0,0.02857142857142857,14.5
3,,,,3.0,-16.5,0.8695652173913043,16.5,0.8695652173913043,240.5,0.8333333333333334,240.5,0.9090909090909091,,,,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,35.0,1.0,20181027020542.0,21077.0,0.02857142857142857,14.5
4,,,,3.0,-16.5,0.8695652173913043,16.5,0.8695652173913043,239.5,0.8695652173913043,239.5,0.8695652173913043,,,,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,27.0,1.0,20181027020550.0,21095.0,0.02857142857142857,14.5
5,,,,3.0,-15.5,0.8695652173913043,15.5,0.8695652173913043,239.5,0.8695652173913043,239.5,0.8695652173913043,,,,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,26.0,1.0,20181027020550.0,11077.0,0.04,12.25
6,,,,3.0,-15.5,0.8695652173913043,15.5,0.8695652173913043,239.5,0.8333333333333334,239.5,0.9090909090909091,,,,,7.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,71.0,85.0,0,1,6.0,18.0,1.0,20181027020559.0,11077.0,0.04,12.25
7,,,,3.0,-14.5,0.8695652173913043,14.5,0.8695652173913043,241.5,0.9090909090909091,241.5,0.8333333333333334,,,^,,8.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,74.0,85.0,0,1,6.0,16.0,1.0,20181027020601.0,11075^21077,0.045454545454545456,11.25
8,,,,3.0,-14.5,0.8695652173913043,14.5,0.8695652173913043,241.5,0.8333333333333334,241.5,0.9090909090909091,,,,,8.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,74.0,85.0,0,1,6.0,7.0,1.0,20181027020610.0,21077.0,0.045454545454545456,11.25
9,,,,3.0,-14.5,0.8695652173913043,14.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,,,,,8.0,10.0,19.0,21.0,12.0,13.0,2.0,4.0,1.0,2.0,92.3,92.9,74.0,85.0,0,1,5.0,59.0,1.0,20181027020618.0,21077.0,0.045454545454545456,11.25
