,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,1.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,19,29,0,1,3.0,40.0,1,20181027142530,21077,0.26666666666666666,2.65
1,,,2.0,-6.5,0.8333333333333334,6.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,,,,1.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,19,29,0,1,3.0,40.0,0.0,20181027142530,21077,0.26666666666666666,2.65
2,,,2.0,-5.5,0.8,5.5,0.8695652173913043,135.5,0.8695652173913043,135.5,0.8,23.0,,,1.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,19,29,0,1,3.0,40.0,0.0,20181027142539.0,21077,0.2857142857142857,2.5
3,,,2.0,-5.5,0.8,5.5,0.8695652173913043,135.5,0.8695652173913043,135.5,0.8,23.0,,,1.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,19,29,0,1,3.0,40.0,1.0,20181027142549.0,21077,0.2857142857142857,2.5
4,,,2.0,-5.5,0.8,5.5,0.8695652173913043,134.5,0.8695652173913043,134.5,0.8,22.0,,,1.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,19,29,0,1,3.0,22.0,1.0,20181027142557.0,21077,0.2857142857142857,2.5
5,,,2.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8,22.0,^,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,3.0,17.0,1.0,20181027142603.0,11075^21077,0.4,1.75
6,,,2.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8,22.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,3.0,16.0,1.0,20181027142604.0,21077.0,0.4,1.75
7,,,2.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,137.5,0.8,137.5,0.8695652173913043,22.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,3.0,7.0,1.0,20181027142612.0,21077.0,0.4,1.75
8,,,2.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.8333333333333334,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,59.0,1.0,20181027142621.0,21077.0,0.38461538461538464,1.85
9,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,136.5,0.8333333333333334,136.5,0.8333333333333334,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,57.0,1.0,20181027142623.0,11077.0,0.43478260869565216,1.65
10,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,136.5,0.8333333333333334,136.5,0.8333333333333334,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,54.0,0.0,20181027142626.0,11077.0,0.43478260869565216,1.65
11,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,136.5,0.8333333333333334,136.5,0.8333333333333334,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,54.0,1.0,20181027142648.0,11077.0,0.43478260869565216,1.65
12,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,135.5,0.8695652173913043,135.5,0.8,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,48.0,0.0,20181027142653.0,11077.0,0.43478260869565216,1.65
13,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,135.5,0.8695652173913043,135.5,0.8,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,48.0,0.0,20181027142654.0,11086.0,0.43478260869565216,1.65
14,,,2.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,135.5,0.8695652173913043,135.5,0.8,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,6.0,3.0,0.0,83.3,22,29,0,1,2.0,48.0,0.0,20181027142657.0,11086.0,0.43478260869565216,1.65
15,,,2.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,135.5,0.8695652173913043,135.5,0.8,20.0,,,2.0,5.0,8.0,2.0,0.0,10.0,4.0,3,7.0,3.0,0.0,83.3,22,29,0,1,2.0,48.0,0.0,20181027142658.0,11086.0,0.38461538461538464,1.85
