,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,162.5,0.8,162.5,0.8695652173913043,,,,8.0,4.0,8.0,15.0,13.0,10.0,5.0,3.0,2.0,3.0,81.2,83.3,53.0,52.0,0,1,4.0,30.0,1,20181026170312,11077,0.8,0.8695652173913043
1,,,3.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,8.0,4.0,8.0,15.0,13.0,10.0,5.0,3.0,2.0,3.0,81.2,83.3,53.0,52.0,0,1,4.0,22.0,1,20181026170320.0,11077,0.8,0.8695652173913043
2,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,^,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,2.0,3.0,81.2,83.3,55.0,52.0,0,1,4.0,17.0,1,20181026170326.0,11074^21077,0.8695652173913043,0.8
3,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,162.5,0.8695652173913043,162.5,0.8,,,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,2.0,3.0,81.2,83.3,55.0,52.0,0,1,4.0,8.0,1,20181026170334.0,21077.0,0.8695652173913043,0.8
4,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,2.0,3.0,81.2,83.3,55.0,52.0,0,1,4.0,4.0,0.0,20181026170339.0,21077.0,0.8695652173913043,0.8
5,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,162.5,0.8333333333333334,162.5,0.8333333333333334,,^,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,3.0,3.0,81.2,83.3,55.0,52.0,0,1,4.0,4.0,0.0,20181026170346.0,11086^21077,0.8695652173913043,0.8
6,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,162.5,0.8333333333333334,162.5,0.8333333333333334,,^,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,3.0,3.0,81.2,83.3,55.0,52.0,0,1,4.0,4.0,1.0,20181026170356.0,11086^21077,0.8695652173913043,0.8
7,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,161.5,0.8695652173913043,161.5,0.8,,^,,8.0,4.0,9.0,15.0,13.0,10.0,5.0,3.0,3.0,3.0,81.2,83.3,55.0,52.0,0,1,3.0,55.0,1.0,20181026170404.0,11086^21077,0.8695652173913043,0.8
8,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,161.5,0.8695652173913043,161.5,0.8,,,,8.0,4.0,9.0,16.0,13.0,10.0,5.0,3.0,3.0,3.0,81.2,83.3,55.0,52.0,0,1,3.0,55.0,1.0,20181026170404.0,11077.0,0.8695652173913043,0.8
9,,,3.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,8.0,4.0,9.0,16.0,13.0,10.0,5.0,3.0,3.0,3.0,81.2,83.3,55.0,52.0,0,1,3.0,46.0,1.0,20181026170413.0,11077.0,0.8695652173913043,0.8
