,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,2.0,2.0,0,20181027015909,21077
1,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,2.0,2.0,0,20181027015911.0,11077.0
2,4.0,-15.5,0.8333333333333334,15.5,0.8333333333333334,,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,2.0,2.0,1.0,20181027015919.0,11077.0
3,4.0,-16.5,0.8333333333333334,16.5,0.8333333333333334,,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,2.0,0.0,1.0,20181027015922.0,21077.0
4,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,51.0,1.0,20181027015930.0,21077.0
5,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,43.0,1.0,20181027015939.0,21077.0
6,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,41.0,1.0,20181027015940.0,21095.0
7,4.0,-15.5,0.0,15.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,41.0,1.0,20181027015941.0,21095.0
8,4.0,-15.5,0.0,15.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,41.0,1.0,20181027015941.0,11077.0
9,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,25.0,1.0,20181027015957.0,21077.0
10,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,18.0,1.0,20181027020004.0,21094.0
11,4.0,-16.5,0.0,16.5,0.0,1.0,,,4,10,,22,23,,9,5,2,3,,1,4,81.8,100.0,65,81,0,1,1.0,18.0,1.0,20181027020004.0,21077.0
12,4.0,-16.5,0.0,16.5,0.0,1.0,^,,4,10,,22,23,,9,5,2,3,2.0,1,4,81.8,100.0,65,81,0,1,1.0,18.0,0.0,20181027020004.0,11086^21077
13,4.0,-16.5,0.0,16.5,0.0,1.0,1:2,,4,10,,22,23,,9,5,2,3,2.0,1,4,81.8,100.0,65,81,0,1,1.0,18.0,0.0,20181027020014.0,21078.0
14,4.0,-17.5,0.0,17.5,0.0,1.0,1:2^2:2,,4,10,,22,23,6.0,9,5,2,3,2.0,1,4,81.8,100.0,65,82,0,1,1.0,18.0,0.0,20181027020031.0,21079^21078
15,4.0,-17.5,0.0,17.5,0.0,1.0,2:2^,,4,10,,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,83,0,1,1.0,18.0,0.0,20181027020046.0,21079^11077
16,4.0,-17.5,0.0,17.5,0.0,1.0,,,4,10,,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,83,0,1,1.0,18.0,1.0,20181027020046.0,11077.0
17,4.0,-17.5,0.0,17.5,0.0,1.0,,,4,10,,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,83,0,1,1.0,11.0,0.0,20181027020048.0,11077.0
18,4.0,-17.5,0.0,17.5,0.0,1.0,,,4,10,,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,83,0,1,1.0,11.0,1.0,20181027020056.0,11077.0
19,4.0,-18.5,0.0,18.5,0.0,1.0,,,4,10,,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,83,0,1,1.0,9.0,1.0,20181027020058.0,21077.0
20,4.0,-19.5,0.0,19.5,0.0,1.0,^,,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,2.0,1.0,20181027020105.0,21074^11077
21,4.0,-19.5,0.0,19.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,2.0,1.0,20181027020105.0,11077.0
22,4.0,-19.5,0.0,19.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,2.0,1.0,20181027020114.0,21077.0
23,4.0,-19.5,0.0,19.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,45.0,1.0,20181027020122.0,21077.0
24,4.0,-19.5,0.0,19.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,37.0,1.0,20181027020131.0,21077.0
25,4.0,-19.5,0.0,19.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,34.0,1.0,20181027020134.0,21077.0
26,4.0,-16.5,0.0,16.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,65,85,0,1,1.0,34.0,1.0,20181027020134.0,11077.0
27,4.0,-15.5,0.0,15.5,0.0,1.0,^,5.0,4,10,23.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,70,85,0,1,1.0,30.0,1.0,20181027020138.0,11074^21077
28,4.0,-15.5,0.0,15.5,0.0,1.0,,5.0,4,10,23.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,70,85,0,1,1.0,21.0,1.0,20181027020146.0,21077.0
29,4.0,-14.5,0.0,14.5,0.0,1.0,,5.0,4,10,23.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,70,85,0,1,1.0,13.0,1.0,20181027020155.0,11077.0
30,4.0,-14.5,0.0,14.5,0.0,1.0,,5.0,4,10,23.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,70,85,0,1,1.0,12.0,1.0,20181027020155.0,11077.0
31,4.0,-13.5,0.0,13.5,0.0,1.0,^,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,72,85,0,1,1.0,7.0,1.0,20181027020200.0,11074^21077
32,4.0,-13.5,0.0,13.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,72,85,0,1,1.0,0.0,0.0,20181027020209.0,21077.0
33,4.0,-13.5,0.0,13.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,72,85,0,1,1.0,0.0,0.0,20181027020223.0,21077.0
34,4.0,-13.5,0.0,13.5,0.0,1.0,,5.0,4,10,24.0,22,23,7.0,9,5,2,3,2.0,1,4,81.8,100.0,72,85,0,1,1.0,0.0,0.0,20181027020223.0,1084.0
