,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,1.5,0.7142857142857143,-1.5,1.0,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,12.0,0,20181027142519,11077,0.8333333333333334,0.8333333333333334
1,,,,2.0,1.5,0.7142857142857143,-1.5,1.0,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,12.0,1.0,20181027142535.0,11077,0.8333333333333334,0.8333333333333334
2,,,,2.0,1.5,0.7142857142857143,-1.5,1.0,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,9.0,1.0,20181027142537.0,11077,0.8333333333333334,0.8333333333333334
3,,,,2.0,1.5,0.7142857142857143,-1.5,1.0,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,7.0,1.0,20181027142539.0,11077,0.8333333333333334,0.8333333333333334
4,,,,2.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,174.5,0.8695652173913043,174.5,0.8,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,1.0,0.0,20181027142545.0,11077,0.8333333333333334,0.8333333333333334
5,,,,2.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,174.5,0.8695652173913043,174.5,0.8,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,1.0,0.0,20181027142601.0,11077,0.8333333333333334,0.8333333333333334
6,,,,2.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,174.5,0.8695652173913043,174.5,0.8,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,29.0,0,1,8.0,1.0,1.0,20181027142601.0,11077,0.8333333333333334,0.8333333333333334
7,,,,2.0,-1.5,0.8,1.5,0.8695652173913043,174.5,0.8695652173913043,174.5,0.8,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,31.0,0,1,7.0,59.0,1.0,20181027142603.0,11077,0.8333333333333334,0.8333333333333334
8,,,,2.0,-1.5,0.8,1.5,0.8695652173913043,174.5,0.8,174.5,0.8695652173913043,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,31.0,0,1,7.0,58.0,1.0,20181027142605.0,11077,0.8333333333333334,0.8333333333333334
9,,,,2.0,-1.5,0.8,1.5,0.8695652173913043,174.5,0.8,174.5,0.8695652173913043,,,,,4.0,3.0,7.0,9.0,5.0,4.0,5.0,5.0,1.0,1.0,100.0,80.0,31.0,31.0,0,1,7.0,57.0,1.0,20181027142606.0,11077,0.8333333333333334,0.8333333333333334
