,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,6,11,,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,85,0,1,1.0,6.0,1,20181027164226,21077
1,,,6,11,,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,85,0,1,0.0,57.0,1,20181027164234.0,21077
2,,,6,11,,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,85,0,1,0.0,48.0,1,20181027164243.0,21077
3,,^,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,43.0,1,20181027164248.0,21074^11077
4,,^,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,43.0,1,20181027164249.0,21074^11077
5,,,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,43.0,0.0,20181027164249.0,11077.0
6,,,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,43.0,1.0,20181027164304.0,11077.0
7,,,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,34.0,1.0,20181027164312.0,11077.0
8,,,6,11,21.0,23,20,,11,12,0,2,,6,4,,73.3,63.2,75,87,0,1,0.0,32.0,0.0,20181027164314.0,11077.0
9,,^,6,11,21.0,23,20,,11,12,0,2,5.0,6,4,,73.3,63.2,75,87,0,1,0.0,32.0,0.0,20181027164319.0,21086^11077
10,,1:2,6,11,21.0,23,20,,11,12,0,2,5.0,6,4,,73.3,63.2,75,87,0,1,0.0,32.0,0.0,20181027164328.0,11078.0
11,,1:2^2:2,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,75.0,73.3,63.2,76,87,0,1,0.0,32.0,0.0,20181027164339.0,11079^11078
12,,2:2^,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,87,0,1,0.0,32.0,1.0,20181027164350.0,11080^21077
13,,2:2^,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,87,0,1,0.0,32.0,1.0,20181027164351.0,11080^21077
14,,,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,87,0,1,0.0,31.0,1.0,20181027164351.0,21077.0
15,,,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,87,0,1,0.0,22.0,1.0,20181027164400.0,21077.0
16,,,6,11,21.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,87,0,1,0.0,13.0,1.0,20181027164408.0,21077.0
17,,^,6,11,22.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,11.0,1.0,20181027164411.0,21074^11077
18,,,6,11,22.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,1.0,20181027164420.0,11077.0
19,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,1.0,20181027164420.0,21077.0
20,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,0.0,20181027164429.0,21077.0
21,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,0.0,20181027164431.0,21077.0
22,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,0.0,20181027164431.0,1084.0
23,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,0.0,20181027164432.0,1084.0
24,,,6,11,24.0,23,20,12.0,11,12,0,2,5.0,6,4,70.6,73.3,63.2,76,89,0,1,0.0,2.0,0.0,20181027164432.0,1084.0
