,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,,,,3,2,,20,10,,9,10,3,2,,0,4,,69.2,58.8,58,36,0,1,6.0,52.0,0,20181027142526,21077
1,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,1.0,0,4,,69.2,58.8,58,36,0,1,6.0,52.0,0,20181027142538.0,11086^21077
2,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,1.0,0,4,,69.2,58.8,58,36,0,1,6.0,52.0,1.0,20181027142551.0,11086^21077
3,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,1.0,0,4,,69.2,58.8,58,36,0,1,6.0,49.0,0.0,20181027142555.0,11086^21077
4,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,1.0,0,4,,69.2,58.8,58,36,0,1,6.0,49.0,1.0,20181027142606.0,11086^21077
5,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,1.0,0,4,,69.2,58.8,58,36,0,1,6.0,42.0,0.0,20181027142612.0,11086^21077
6,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,^,,,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,42.0,0.0,20181027142627.0,11086^21077
7,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,,,3.0,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,42.0,0.0,20181027142627.0,11077.0
8,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,,,3.0,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,42.0,1.0,20181027142650.0,11077.0
9,4.0,21.5,0.7692307692307693,-21.5,0.9090909090909091,,,,3.0,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,33.0,1.0,20181027142659.0,11077.0
10,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,,3.0,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,34.0,1.0,20181027142659.0,11094.0
11,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,,3.0,3,2,,20,10,,9,10,3,2,2.0,0,4,,69.2,58.8,58,36,0,1,6.0,34.0,1.0,20181027142659.0,21077.0
