,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,8,9,,29,30,,8,14,5,4,,7,7,,57.1,58.3,90,101,0,1,0,31.0,0,20181027142525,21080^21078
1,,2:2^,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,31.0,1.0,20181027142542.0,21080^11077
2,,2:2^,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,31.0,1.0,20181027142543.0,21080^11077
3,,2:2^,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,29.0,1.0,20181027142545.0,21080^11077
4,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,24.0,1.0,20181027142549.0,21077.0
5,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,20.0,1.0,20181027142551.0,21077.0
6,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,18.0,0.0,20181027142553.0,21077.0
7,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,18.0,0.0,20181027142556.0,11086.0
8,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,18.0,0.0,20181027142557.0,11086.0
9,,,8,9,,29,30,,8,14,5,4,,7,7,56.0,57.1,58.3,90,101,0,1,0,18.0,0.0,20181027142603.0,11086.0
10,,1:2,8,9,,29,30,,8,14,5,4,8.0,7,7,56.0,57.1,58.3,90,101,0,1,0,18.0,0.0,20181027142603.0,21078.0
11,,1:2^2:2,8,9,,29,30,15.0,8,14,5,4,8.0,7,7,57.7,57.1,58.3,90,102,0,1,0,18.0,0.0,20181027142619.0,21079^21078
12,,2:2,8,9,,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,90,103,0,1,0,18.0,0.0,20181027142635.0,21079.0
13,,2:2,8,9,,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,90,103,0,1,0,18.0,1.0,20181027142641.0,21079.0
14,,,8,9,,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,90,103,0,1,0,18.0,1.0,20181027142642.0,11077.0
15,,,8,9,,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,90,103,0,1,0,9.0,1.0,20181027142651.0,11077.0
16,,,8,9,,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,90,103,0,1,0,7.0,0.0,20181027142652.0,11077.0
17,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,92,103,0,1,0,7.0,0.0,20181027142652.0,11074.0
18,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,92,103,0,1,0,7.0,0.0,20181027142711.0,11074.0
19,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,92,103,0,1,0,7.0,0.0,20181027142721.0,21086.0
20,,^1:1,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,59.3,57.1,58.3,92,103,0,1,0,7.0,0.0,20181027142722.0,21086^11078
21,,1:1^,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,7.0,1.0,20181027142802.0,11080^21077
22,,1:1^,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,7.0,1.0,20181027142803.0,11080^21077
23,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,0.0,1.0,20181027142809.0,21077.0
24,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,0.0,0.0,20181027142810.0,21077.0
25,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,0.0,0.0,20181027142810.0,1084.0
26,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,0.0,0.0,20181027142812.0,1084.0
27,,,8,9,30.0,29,30,16.0,8,14,5,4,8.0,7,7,53.3,57.1,58.3,92,103,0,1,0,0.0,0.0,20181027142812.0,1084.0
