,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,45.5,0.7142857142857143,-45.5,1.0,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,27.0,1,20181026174726,11077
1,4.0,44.5,1.0,-44.5,0.7142857142857143,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,19.0,1,20181026174734.0,11077
2,4.0,44.5,1.0,-44.5,0.7142857142857143,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,18.0,0.0,20181026174735.0,11077
3,4.0,43.5,1.0,-43.5,0.7142857142857143,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,18.0,0.0,20181026174736.0,11077
4,4.0,43.5,1.0,-43.5,0.7142857142857143,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,18.0,0.0,20181026174746.0,11077
5,4.0,43.5,0.9090909090909091,-43.5,0.7692307692307693,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,9.0,0.0,20181026174754.0,21077.0
6,4.0,44.5,0.9090909090909091,-44.5,0.7692307692307693,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,3.0,2.0,0.0,20181026174801.0,11077.0
7,4.0,44.5,0.0,-44.5,0.0,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,2.0,53.0,0.0,20181026174809.0,11077.0
8,4.0,44.5,0.0,-44.5,0.0,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,2.0,51.0,0.0,20181026174813.0,11077.0
9,4.0,44.5,0.0,-44.5,0.0,,,,,16,6,,14,10,,14,10,5,5,,3,6,,70.0,62.5,90,48,0,1,2.0,47.0,0.0,20181026174817.0,11077.0
