,ED,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,1.0,1,20181027022118,11077
1,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,1.0,1,20181027022122.0,11077.0
2,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,1.0,1,20181027022122.0,21077.0
3,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,52.0,1,20181027022128.0,11077.0
4,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,50.0,1,20181027022130.0,21077.0
5,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,45.0,1,20181027022134.0,21077.0
6,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,45.0,1,20181027022134.0,21095.0
7,,,,,7,3,,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,52,0,1,1,44.0,0.0,20181027022136.0,21095.0
8,,^,,,7,3,18.0,29,17,,8,9,4,2,,3,1,,80.0,75.0,87,54,0,1,1,44.0,0.0,20181027022142.0,21074^11077
9,,^,1.0,,7,3,18.0,29,17,,8,9,4,2,4.0,3,1,,80.0,75.0,87,54,0,1,1,44.0,0.0,20181027022145.0,11086^21077
10,,^,1.0,,7,3,18.0,29,17,,8,9,4,2,4.0,3,1,,80.0,75.0,87,54,0,1,1,44.0,0.0,20181027022146.0,11086^21077
11,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,44.0,0.0,20181027022146.0,21078.0
12,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,43.0,0.0,20181027022146.0,21078.0
13,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,43.0,1.0,20181027022159.0,21078.0
14,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,36.0,1.0,20181027022200.0,21078.0
15,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,40.0,1.0,20181027022207.0,11095.0
16,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,40.0,1.0,20181027022208.0,11077.0
17,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,35.0,1.0,20181027022212.0,11095.0
18,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,35.0,1.0,20181027022213.0,21077.0
19,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,26.0,1.0,20181027022222.0,21077.0
20,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,24.0,1.0,20181027022223.0,21095.0
21,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,24.0,1.0,20181027022224.0,11077.0
22,,1:1,1.0,,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,87,54,0,1,1,15.0,1.0,20181027022232.0,11077.0
23,,^,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,14.0,1.0,20181027022233.0,11075^21077
24,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,14.0,1.0,20181027022234.0,21077.0
25,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,5.0,1.0,20181027022242.0,21077.0
26,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,3.0,1.0,20181027022245.0,21094.0
27,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,0.0,0.0,20181027022250.0,11077.0
28,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,0.0,0.0,20181027022258.0,11077.0
29,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,0.0,0.0,20181027022258.0,1084.0
30,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,0.0,0.0,20181027022259.0,1084.0
31,,,1.0,8.0,7,3,18.0,29,17,10.0,8,9,4,2,4.0,3,1,76.9,80.0,75.0,90,55,0,1,1,0.0,0.0,20181027022259.0,1084.0
