,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,25.5,0.8333333333333334,-25.5,0.8333333333333334,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,1.0,54.5,40.0,56.0,31,0,1,8.0,46.0,1,20181026185427,21077
1,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,1.0,54.5,40.0,56.0,31,0,1,8.0,43.0,1,20181026185430.0,11077.0
2,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,1.0,54.5,40.0,56.0,31,0,1,8.0,34.0,1,20181026185438.0,11077.0
3,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,1.0,54.5,40.0,56.0,31,0,1,8.0,28.0,0.0,20181026185445.0,11077.0
4,4.0,25.5,0.9090909090909091,-25.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,^,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,2.0,54.5,40.0,56.0,31,0,1,8.0,28.0,0.0,20181026185455.0,21086^11077
5,4.0,26.5,0.8333333333333334,-26.5,0.8333333333333334,117.5,0.8695652173913043,117.5,0.8,,1:2,5.0,3.0,17.0,9.0,6.0,4.0,4,2,0.0,2.0,54.5,40.0,56.0,31,0,1,8.0,28.0,0.0,20181026185458.0,11078.0
6,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,118.5,0.8,118.5,0.8695652173913043,,1:2^2:2,5.0,3.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,58.3,40.0,57.0,31,0,1,8.0,28.0,0.0,20181026185510.0,11079^11078
7,4.0,26.5,0.8,-26.5,0.8695652173913043,117.5,0.8333333333333334,117.5,0.8333333333333334,,2:2^,5.0,3.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,31,0,1,8.0,28.0,1.0,20181026185522.0,11080^21077
8,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,31,0,1,8.0,28.0,1.0,20181026185523.0,11077.0
9,4.0,26.5,0.9090909090909091,-26.5,0.7692307692307693,117.5,0.8333333333333334,117.5,0.8333333333333334,,,5.0,3.0,17.0,9.0,7.0,4.0,4,2,0.0,2.0,53.8,40.0,57.0,31,0,1,8.0,27.0,1.0,20181026185523.0,11077.0
