,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,18.5,0.8695652173913043,-18.5,0.8,156.5,0.8333333333333334,156.5,0.8333333333333334,,,,5.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,61.0,41,0,1,3.0,53.0,1,20181026170316,11077,14.0,0.01
1,,,3.0,18.5,0.8695652173913043,-18.5,0.8,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,5.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,61.0,41,0,1,3.0,45.0,1,20181026170324.0,11077,15.0,0.006666666666666667
2,,,3.0,20.5,0.8695652173913043,-20.5,0.8,158.5,0.9090909090909091,158.5,0.7692307692307693,,^,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,44.0,1,20181026170325.0,11075^21077,17.0,0.004
3,,,3.0,20.5,0.8695652173913043,-20.5,0.8,158.5,0.9090909090909091,158.5,0.7692307692307693,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,44.0,1,20181026170326.0,21077.0,17.0,0.004
4,,,3.0,20.5,0.8695652173913043,-20.5,0.8,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,35.0,1,20181026170334.0,21077.0,17.0,0.004
5,,,3.0,20.5,0.8695652173913043,-20.5,0.8,157.5,0.8695652173913043,157.5,0.8,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,28.0,0.0,20181026170341.0,21077.0,17.0,0.004
6,,,3.0,20.5,0.8695652173913043,-20.5,0.8,157.5,0.8695652173913043,157.5,0.8,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,30.0,0.0,20181026170342.0,21095.0,17.0,0.004
7,,,3.0,20.5,0.8695652173913043,-20.5,0.8,157.5,0.8695652173913043,157.5,0.8,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,28.0,0.0,20181026170348.0,21077.0,17.0,0.004
8,,,3.0,20.5,0.8695652173913043,-20.5,0.8,157.5,0.8695652173913043,157.5,0.8,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,2.0,1.0,93.3,100.0,64.0,41,0,1,3.0,28.0,0.0,20181026170351.0,21077.0,17.0,0.004
9,,,3.0,20.5,0.8695652173913043,-20.5,0.8,157.5,0.8695652173913043,157.5,0.8,,,,6.0,1.0,16.0,18.0,14.0,2.0,2,3.0,3.0,1.0,93.3,100.0,64.0,41,0,1,3.0,28.0,0.0,20181026170354.0,11086.0,17.0,0.004
