,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,4.0,16.0,0,20181028143114,11081,0.11764705882352941,4.75
1,,,2.0,-9.5,0.8,9.5,0.8695652173913043,151.5,0.8,151.5,0.8695652173913043,,^1:1^,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,4.0,16.0,1.0,20181028143230.0,11077^21080^21077,0.125,4.5
2,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,151.5,0.8,151.5,0.8695652173913043,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,4.0,16.0,1.0,20181028143230.0,1077.0,0.13333333333333333,4.25
3,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,4.0,7.0,1.0,20181028143243.0,1077.0,0.13333333333333333,4.25
4,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,3.0,59.0,1.0,20181028143251.0,1077.0,0.13333333333333333,4.25
5,,,2.0,-9.5,0.8,9.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,3.0,59.0,1.0,20181028143252.0,21077.0,0.125,4.5
6,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,148.5,0.8695652173913043,148.5,0.8,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,3.0,50.0,1.0,20181028143300.0,21077.0,0.125,4.5
7,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,4.0,4.0,8.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,28.0,0,1,3.0,42.0,1.0,20181028143308.0,21077.0,0.125,4.5
8,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,^,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,30.0,0,1,3.0,42.0,1.0,20181028143309.0,21074^11077,0.1111111111111111,5.0
9,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,149.5,0.8695652173913043,149.5,0.8,,,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,30.0,0,1,3.0,33.0,1.0,20181028143318.0,11077.0,0.1111111111111111,5.0
10,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,30.0,0,1,3.0,25.0,1.0,20181028143326.0,11077.0,0.1111111111111111,5.0
11,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,30.0,0,1,3.0,17.0,0.0,20181028143334.0,11077.0,0.1111111111111111,5.0
12,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,1.0,75.0,0.0,26.0,30.0,0,1,3.0,17.0,0.0,20181028143343.0,11077.0,0.1111111111111111,5.0
13,,,2.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,2.0,75.0,0.0,26.0,30.0,0,1,3.0,17.0,0.0,20181028143344.0,21086.0,0.1111111111111111,5.0
14,,,2.0,-9.5,0.8,9.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,1:2,,5.0,4.0,4.0,9.0,3.0,0.0,4.0,3.0,5.0,2.0,75.0,0.0,26.0,30.0,0,1,3.0,17.0,0.0,20181028143345.0,11078.0,0.125,4.5
15,,,2.0,-9.5,0.8,9.5,0.8695652173913043,150.5,0.8333333333333334,150.5,0.8333333333333334,,1:2^2:2,,5.0,4.0,4.0,9.0,4.0,0.0,4.0,3.0,5.0,2.0,80.0,0.0,27.0,30.0,0,1,3.0,17.0,0.0,20181028143358.0,11079^11078,0.125,4.5
