,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,4.0,-8.5,0.9090909090909091,8.5,0.7692307692307693,95.5,0.7142857142857143,95.5,1.0,,,,,1.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,33.0,43,0,1,6.0,24.0,1,20181028014133,11077,0.0625,7.0
1,,,,4.0,-8.5,0.9090909090909091,8.5,0.7692307692307693,95.5,0.7142857142857143,95.5,1.0,,,,,1.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,33.0,43,0,1,6.0,24.0,1,20181028014138.0,11077,0.0625,7.0
2,,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,97.5,0.9090909090909091,97.5,0.7692307692307693,,,,,1.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,6.0,15.0,1,20181028014143.0,11077,0.125,4.5
3,,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,97.5,0.9090909090909091,97.5,0.7692307692307693,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,6.0,15.0,1,20181028014143.0,21077.0,0.125,4.5
4,,,,4.0,-6.5,0.9090909090909091,6.5,0.7692307692307693,97.5,0.8333333333333334,97.5,0.8333333333333334,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,6.0,6.0,1,20181028014151.0,21077.0,0.125,4.5
5,,,,4.0,-5.5,0.8695652173913043,5.5,0.8,97.5,0.7692307692307693,97.5,0.9090909090909091,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,59.0,1,20181028014159.0,11077.0,0.16666666666666666,3.5
6,,,,4.0,-5.5,0.8695652173913043,5.5,0.8,97.5,0.7692307692307693,97.5,0.9090909090909091,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,58.0,1,20181028014159.0,11077.0,0.16666666666666666,3.5
7,,,,4.0,-5.5,0.8695652173913043,5.5,0.8,97.5,0.7692307692307693,97.5,0.9090909090909091,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,59.0,1,20181028014201.0,11077.0,0.16666666666666666,3.5
8,,,,4.0,-5.5,0.8695652173913043,5.5,0.8,96.5,0.8695652173913043,96.5,0.8,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,53.0,0.0,20181028014204.0,11077.0,0.16666666666666666,3.5
9,,,,4.0,-5.5,0.8695652173913043,5.5,0.8,96.5,0.9090909090909091,96.5,0.7692307692307693,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,54.0,0.0,20181028014206.0,11095.0,0.16666666666666666,3.5
10,,,,4.0,-6.5,0.8695652173913043,6.5,0.8,96.5,0.8695652173913043,96.5,0.8,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,53.0,0.0,20181028014214.0,21077.0,0.11764705882352941,4.75
11,,,,4.0,-6.5,0.8695652173913043,6.5,0.8,96.5,0.8695652173913043,96.5,0.8,,,,,2.0,5.0,8.0,11.0,14.0,6.0,2.0,3.0,2.0,4.0,82.4,75.0,36.0,43,0,1,5.0,53.0,1.0,20181028014226.0,21077.0,0.11764705882352941,4.75
