,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,184.5,0.8,184.5,0.8695652173913043,,,,3.0,7.0,12.0,10.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,45,0,1,2.0,39.0,1,20181028143218,21077,0.14285714285714285,4.0
1,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,,,,3.0,7.0,12.0,10.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,45,0,1,2.0,35.0,1,20181028143221.0,21077,0.14285714285714285,4.0
2,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,,,,3.0,7.0,12.0,10.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,45,0,1,2.0,34.0,1,20181028143222.0,21077,0.14285714285714285,4.0
3,,,,2.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,185.5,0.8333333333333334,185.5,0.8333333333333334,18.0,,^,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,31.0,1,20181028143226.0,21074^11077,0.11764705882352941,4.75
4,,,,2.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,185.5,0.8333333333333334,185.5,0.8333333333333334,18.0,,,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,30.0,1,20181028143227.0,11077.0,0.11764705882352941,4.75
5,,,,2.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,184.5,0.8695652173913043,184.5,0.8,18.0,,,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,21.0,1,20181028143235.0,11077.0,0.11764705882352941,4.75
6,,,,2.0,-11.5,0.8,11.5,0.8695652173913043,184.5,0.8333333333333334,184.5,0.8333333333333334,17.0,,,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,19.0,1,20181028143237.0,21077.0,0.10526315789473684,5.25
7,,,,2.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,184.5,0.8,184.5,0.8695652173913043,18.0,,,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,14.0,1,20181028143243.0,11077.0,0.1111111111111111,5.0
8,,,,2.0,-11.5,0.8333333333333334,11.5,0.8333333333333334,183.5,0.8333333333333334,183.5,0.8333333333333334,18.0,,,3.0,7.0,12.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,37.0,47,0,1,2.0,5.0,1,20181028143251.0,11077.0,0.1111111111111111,5.0
9,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,185.5,0.8695652173913043,185.5,0.8,18.0,,^,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,2.0,5.0,1,20181028143252.0,11074^21077,0.14285714285714285,4.0
10,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,185.5,0.8333333333333334,185.5,0.8333333333333334,18.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,2.0,3.0,1,20181028143253.0,21077.0,0.14285714285714285,4.0
11,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,185.5,0.8,185.5,0.8695652173913043,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,55.0,0.0,20181028143301.0,21077.0,0.14285714285714285,4.0
12,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,185.5,0.8,185.5,0.8695652173913043,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,55.0,0.0,20181028143302.0,21077.0,0.14285714285714285,4.0
13,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,185.5,0.8,185.5,0.8695652173913043,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,55.0,1.0,20181028143319.0,21077.0,0.14285714285714285,4.0
14,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,184.5,0.8695652173913043,184.5,0.8,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,54.0,1.0,20181028143320.0,21077.0,0.14285714285714285,4.0
15,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,184.5,0.8695652173913043,184.5,0.8,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,55.0,1.0,20181028143320.0,21077.0,0.14285714285714285,4.0
16,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,51.0,1.0,20181028143324.0,11077.0,0.16666666666666666,3.5
17,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,184.5,0.8333333333333334,184.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,50.0,1.0,20181028143325.0,11077.0,0.16666666666666666,3.5
18,,,,2.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,183.5,0.8695652173913043,183.5,0.8,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,41.0,1.0,20181028143333.0,11077.0,0.16666666666666666,3.5
19,,,,2.0,-10.5,0.8695652173913043,10.5,0.8,183.5,0.8333333333333334,183.5,0.8333333333333334,32.0,,,3.0,7.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,47,0,1,1.0,36.0,1.0,20181028143339.0,21077.0,0.14285714285714285,4.0
20,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,186.5,0.8,186.5,0.8695652173913043,32.0,,^,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,28.0,1.0,20181028143347.0,21075^11077,0.09090909090909091,5.75
21,,,,2.0,-12.5,0.8695652173913043,12.5,0.8,186.5,0.8,186.5,0.8695652173913043,32.0,,,3.0,8.0,13.0,11.0,4.0,5.0,2.0,5.0,2.0,1.0,100.0,100.0,39.0,50,0,1,1.0,27.0,1.0,20181028143347.0,11077.0,0.09090909090909091,5.75
