,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,7.5,0.8695652173913043,-7.5,0.8,220.5,0.8,220.5,0.8695652173913043,,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,12.0,0.0,0,20181028013450,01083,3.25,0.21052631578947367
1,,,3.0,7.5,0.8695652173913043,-7.5,0.8,219.5,0.8333333333333334,219.5,0.8333333333333334,,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,12.0,0.0,0,20181028015000.0,01083,3.25,0.21052631578947367
2,,,3.0,7.5,0.8695652173913043,-7.5,0.8,219.5,0.8333333333333334,219.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,12.0,0.0,1.0,20181028015001.0,21077.0,3.25,0.21052631578947367
3,,,3.0,7.5,0.8695652173913043,-7.5,0.8,219.5,0.8,219.5,0.8695652173913043,26.0,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,51.0,1.0,20181028015009.0,21077.0,3.0,0.2222222222222222
4,,,3.0,7.5,0.8695652173913043,-7.5,0.8,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,43.0,1.0,20181028015018.0,21077.0,3.0,0.2222222222222222
5,,,3.0,7.5,0.8695652173913043,-7.5,0.8,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,16.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,40.0,1.0,20181028015021.0,21095.0,3.0,0.2222222222222222
6,,,3.0,7.5,0.8695652173913043,-7.5,0.8,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,^,,2.0,5.0,22.0,17.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,40.0,1.0,20181028015021.0,21077.0,3.0,0.2222222222222222
7,,,3.0,7.5,0.8695652173913043,-7.5,0.8,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,17.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,40.0,1.0,20181028015023.0,11077.0,3.0,0.2222222222222222
8,,,3.0,7.5,0.8695652173913043,-7.5,0.8,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,17.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,30.0,1.0,20181028015031.0,11077.0,3.0,0.2222222222222222
9,,,3.0,7.5,0.8,-7.5,0.8695652173913043,218.5,0.8333333333333334,218.5,0.8333333333333334,26.0,,,2.0,5.0,22.0,17.0,10.0,8.0,5.0,3.0,0.0,0.0,83.3,100.0,60,55.0,0,1,11.0,27.0,1.0,20181028015034.0,11077.0,2.85,0.23529411764705882
