,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,14.5,0.7142857142857143,-14.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,,,2,3,18,14.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,50,0,1,3.0,7.0,1,20181028142400,21077
1,4.0,14.5,0.7142857142857143,-14.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,14.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,50,0,1,2.0,58.0,1,20181028142409.0,21077
2,4.0,14.5,0.7142857142857143,-14.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,14.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,50,0,1,2.0,53.0,0.0,20181028142414.0,21077
3,4.0,14.5,0.7142857142857143,-14.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,14.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,50,0,1,2.0,53.0,1.0,20181028142419.0,21077
4,4.0,13.5,0.7142857142857143,-13.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,^,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,50.0,1.0,20181028142424.0,21074^11077
5,4.0,13.5,0.7142857142857143,-13.5,1.0,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,41.0,1.0,20181028142432.0,11077.0
6,4.0,12.5,1.0,-12.5,0.7142857142857143,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,33.0,1.0,20181028142441.0,11077.0
7,4.0,12.5,1.0,-12.5,0.7142857142857143,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,25.0,1.0,20181028142449.0,11077.0
8,4.0,12.5,1.0,-12.5,0.7142857142857143,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,23.0,1.0,20181028142450.0,11094.0
9,4.0,11.5,1.0,-11.5,0.7142857142857143,123.5,0.8333333333333334,123.5,0.8333333333333334,3.0,,2,3,18,15.0,12,7.0,4,3,4.0,3.0,75.0,77.8,64,52,0,1,2.0,21.0,1.0,20181028142452.0,21077.0
