,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,MD,MS,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,VI,WA_ODD,WH_ODD
0,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,,,,,2.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,8.0,5.0,0,1,8.0,8.0,0,20181028143205,21078,,5.5,0.1
1,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,,1:1^,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,8.0,8.0,0,20181028143226.0,21079^11077,,5.5,0.1
2,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,8.0,8.0,1.0,20181028143226.0,11077.0,,5.5,0.1
3,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,8.0,8.0,0.0,20181028143227.0,11077.0,,5.5,0.1
4,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,163.5,0.8,163.5,0.8695652173913043,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,8.0,8.0,1.0,20181028143228.0,11077.0,,5.5,0.1
5,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,7.0,59.0,1.0,20181028143236.0,11077.0,,5.5,0.1
6,,,,,,1.0,12.5,0.8695652173913043,-12.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,8.0,6.0,0,1,7.0,51.0,1.0,20181028143245.0,11077.0,,5.5,0.1
7,,,,,,1.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,161.5,0.8333333333333334,161.5,0.8333333333333334,,,,,,,,2.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,10.0,6.0,0,1,7.0,50.0,1.0,20181028143246.0,21077.0,,5.5,0.1
8,,,,,,1.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,,,,2.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,10.0,6.0,0,1,7.0,41.0,1.0,20181028143255.0,21077.0,,5.5,0.1
9,,,,,,1.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,162.5,0.8333333333333334,162.5,0.8333333333333334,,,,,,,,2.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,10.0,6.0,0,1,7.0,33.0,1.0,20181028143303.0,21077.0,,5.5,0.1
