,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-13.5,0.7142857142857143,13.5,1.0,,,,9,11,,20,26,,12,7,-1,0,,5,1,,70.6,70.0,81,95,0,1,2.0,1.0,0,20181028234632,21079^21078
1,4.0,-14.5,0.9090909090909091,14.5,0.7692307692307693,,2:2^,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,2.0,1.0,0,20181028234648.0,21079^11077
2,4.0,-14.5,0.9090909090909091,14.5,0.7692307692307693,,2:2^,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,2.0,1.0,1.0,20181028234653.0,21079^11077
3,4.0,-14.5,0.9090909090909091,14.5,0.7692307692307693,,2:2^,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,2.0,0.0,1.0,20181028234653.0,21079^11077
4,4.0,-14.5,0.9090909090909091,14.5,0.7692307692307693,,,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,2.0,0.0,1.0,20181028234654.0,11077.0
5,4.0,-14.5,0.0,14.5,0.0,1.0,,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,1.0,51.0,1.0,20181028234702.0,11077.0
6,4.0,-15.5,0.0,15.5,0.0,1.0,,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,1.0,48.0,1.0,20181028234705.0,21077.0
7,4.0,-15.5,0.0,15.5,0.0,1.0,,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,1.0,47.0,0.0,20181028234706.0,21077.0
8,4.0,-15.5,0.0,15.5,0.0,1.0,,,9,11,,20,26,8.0,12,7,-1,0,,5,1,72.7,70.6,70.0,81,96,0,1,1.0,47.0,0.0,20181028234707.0,21077.0
9,4.0,-15.5,0.0,15.5,0.0,1.0,^,,9,11,,20,26,8.0,12,7,-1,0,6.0,5,1,72.7,70.6,70.0,81,96,0,1,1.0,48.0,0.0,20181028234708.0,11086^21077
10,4.0,-15.5,0.0,15.5,0.0,1.0,^,,9,11,,20,26,8.0,12,7,-1,0,6.0,5,1,72.7,70.6,70.0,81,96,0,1,1.0,48.0,0.0,20181028234709.0,11086^21077
11,4.0,-15.5,0.0,15.5,0.0,1.0,^,,9,11,,20,26,8.0,12,7,-1,0,6.0,5,1,72.7,70.6,70.0,81,96,0,1,1.0,48.0,0.0,20181028234725.0,11086^21077
12,4.0,-12.5,0.0,12.5,0.0,1.0,^,,9,11,,20,26,8.0,12,7,-1,0,6.0,5,1,72.7,70.6,70.0,84,96,0,1,1.0,48.0,0.0,20181028234731.0,11086^21077
13,4.0,-12.5,0.0,12.5,0.0,1.0,1:2,,9,11,,20,26,8.0,12,7,-1,0,6.0,5,1,72.7,70.6,70.0,84,96,0,1,1.0,48.0,0.0,20181028234739.0,21078.0
14,4.0,-12.5,0.0,12.5,0.0,1.0,1:2^2:2,,9,11,,20,26,9.0,12,7,-1,0,6.0,5,1,75.0,70.6,70.0,84,97,0,1,1.0,48.0,0.0,20181028234754.0,21079^21078
15,4.0,-13.5,0.0,13.5,0.0,1.0,2:2^,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,48.0,0.0,20181028234820.0,21079^11077
16,4.0,-13.5,0.0,13.5,0.0,1.0,2:2^,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,48.0,1.0,20181028234823.0,21079^11077
17,4.0,-13.5,0.0,13.5,0.0,1.0,2:2^,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,47.0,1.0,20181028234824.0,21079^11077
18,4.0,-13.5,0.0,13.5,0.0,1.0,,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,47.0,1.0,20181028234825.0,11077.0
19,4.0,-13.5,0.0,13.5,0.0,1.0,,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,44.0,1.0,20181028234827.0,11077.0
20,4.0,-13.5,0.0,13.5,0.0,1.0,,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,36.0,1.0,20181028234835.0,11077.0
21,4.0,-14.5,0.0,14.5,0.0,1.0,,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,29.0,1.0,20181028234843.0,21077.0
22,4.0,-14.5,0.0,14.5,0.0,1.0,,,9,11,,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,98,0,1,1.0,28.0,1.0,20181028234843.0,21077.0
23,4.0,-15.5,0.0,15.5,0.0,1.0,^,,9,11,27.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,100,0,1,1.0,21.0,1.0,20181028234851.0,21074^11077
24,4.0,-15.5,0.0,15.5,0.0,1.0,,,9,11,27.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,100,0,1,1.0,20.0,1.0,20181028234852.0,11077.0
25,4.0,-15.5,0.0,15.5,0.0,1.0,,,9,11,27.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,84,100,0,1,1.0,11.0,1.0,20181028234900.0,11077.0
26,4.0,-14.5,0.0,14.5,0.0,1.0,^,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,1.0,4.0,1.0,20181028234908.0,11074^21077
27,4.0,-14.5,0.0,14.5,0.0,1.0,^,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,1.0,3.0,1.0,20181028234909.0,11074^21077
28,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,54.0,1.0,20181028234918.0,21077.0
29,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,46.0,1.0,20181028234926.0,21077.0
30,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,37.0,1.0,20181028234935.0,21077.0
31,4.0,-13.5,0.0,13.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,33.0,1.0,20181028234939.0,11077.0
32,4.0,-13.5,0.0,13.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,32.0,1.0,20181028234940.0,11077.0
33,4.0,-13.5,0.0,13.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,24.0,1.0,20181028234948.0,11077.0
34,4.0,-13.5,0.0,13.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,21.0,1.0,20181028234951.0,11077.0
35,4.0,-13.5,0.0,13.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,20.0,1.0,20181028234951.0,11077.0
36,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,17.0,1.0,20181028234955.0,21077.0
37,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,8.0,1.0,20181028235003.0,21077.0
38,4.0,-14.5,0.0,14.5,0.0,1.0,,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,6.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,5.0,0.0,20181028235007.0,21077.0
39,4.0,-14.5,0.0,14.5,0.0,1.0,^,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,7.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,5.0,0.0,20181028235010.0,11086^21077
40,4.0,-14.5,0.0,14.5,0.0,1.0,1:2,10.0,9,11,21.0,20,26,10.0,12,7,-1,0,7.0,5,1,76.9,70.6,70.0,86,100,0,1,0.0,5.0,0.0,20181028235015.0,21078.0
41,4.0,-15.5,0.0,15.5,0.0,1.0,1:2^2:2,10.0,9,11,21.0,20,26,11.0,12,7,-1,0,7.0,5,1,78.6,70.6,70.0,86,101,0,1,0.0,5.0,0.0,20181028235052.0,21079^21078
