,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,221.5,0.8695652173913043,221.5,0.8695652173913043,,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,0.0,73.7,83.3,60.0,54,0,1,12.0,0.0,0,20181101004304,01083,1.65,0.5
1,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,221.5,0.8695652173913043,221.5,0.8695652173913043,,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,0.0,73.7,83.3,60.0,54,0,1,12.0,0.0,0,20181101005825.0,01083,1.65,0.5
2,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,221.5,0.8695652173913043,221.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,0.0,73.7,83.3,60.0,54,0,1,12.0,0.0,1.0,20181101005825.0,11077.0,1.65,0.5
3,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,220.5,0.9090909090909091,220.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,0.0,73.7,83.3,60.0,54,0,1,11.0,54.0,0.0,20181101005831.0,11077.0,1.65,0.5
4,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,220.5,0.9090909090909091,220.5,0.8333333333333334,26.0,^,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,54.0,0.0,20181101005834.0,21086^11077,1.65,0.5
5,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,220.5,0.9090909090909091,220.5,0.8333333333333334,26.0,^,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,54.0,1.0,20181101005856.0,21086^11077,1.65,0.5
6,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,220.5,0.8695652173913043,220.5,0.8695652173913043,26.0,^,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,45.0,1.0,20181101005904.0,21086^11077,1.65,0.5
7,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,220.5,0.8333333333333334,220.5,0.9090909090909091,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,43.0,1.0,20181101005908.0,11095.0,1.65,0.5
8,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,219.5,0.8695652173913043,219.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,34.0,1.0,20181101005917.0,21077.0,1.65,0.5
9,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,26.0,1.0,20181101005924.0,21094.0,1.65,0.5
10,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,218.5,0.9090909090909091,218.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,26.0,1.0,20181101005925.0,11077.0,1.65,0.5
11,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,218.5,0.8695652173913043,218.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,17.0,1.0,20181101005933.0,11077.0,1.7,0.47619047619047616
12,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,217.5,0.9090909090909091,217.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,9.0,1.0,20181101005941.0,11077.0,1.7,0.47619047619047616
13,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,4.0,1.0,20181101005946.0,11077.0,1.7,0.47619047619047616
14,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,4.0,1.0,20181101005946.0,11077.0,1.7,0.47619047619047616
15,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,1.0,73.7,83.3,60.0,54,0,1,11.0,3.0,0.0,20181101005947.0,11077.0,1.7,0.47619047619047616
16,,,3.0,3.5,0.9090909090909091,-3.5,0.8333333333333334,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,^,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,2.0,73.7,83.3,60.0,54,0,1,11.0,3.0,0.0,20181101005954.0,21086^11077,1.7,0.47619047619047616
17,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,26.0,1:2,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,2.0,73.7,83.3,60.0,54,0,1,11.0,3.0,0.0,20181101005955.0,11078.0,1.8,0.4444444444444444
18,,,3.0,3.5,0.9523809523809523,-3.5,0.8,218.5,0.8333333333333334,218.5,0.9090909090909091,26.0,1:2^2:2,,6.0,4.0,14.0,16.0,14.0,10.0,3.0,4.0,0.0,2.0,70.0,83.3,60.0,54,0,1,11.0,3.0,0.0,20181101010010.0,11080^11078,1.7,0.47619047619047616
19,,,3.0,4.5,0.8,-4.5,0.9523809523809523,218.5,0.8333333333333334,218.5,0.9090909090909091,26.0,2:2^,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,0.0,2.0,71.4,83.3,61.0,54,0,1,11.0,3.0,0.0,20181101010027.0,11079^21077,1.75,0.45454545454545453
20,,,3.0,4.5,0.8,-4.5,0.9523809523809523,218.5,0.8333333333333334,218.5,0.9090909090909091,26.0,,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,0.0,2.0,71.4,83.3,61.0,54,0,1,11.0,3.0,1.0,20181101010027.0,21077.0,1.75,0.45454545454545453
21,,,3.0,4.5,0.8,-4.5,0.9523809523809523,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,0.0,2.0,71.4,83.3,61.0,54,0,1,10.0,54.0,1.0,20181101010035.0,21077.0,1.75,0.45454545454545453
22,,,3.0,4.5,0.8,-4.5,0.9523809523809523,217.5,0.8333333333333334,217.5,0.9090909090909091,26.0,,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,0.0,2.0,71.4,83.3,61.0,54,0,1,10.0,46.0,1.0,20181101010044.0,21077.0,1.75,0.45454545454545453
23,,,3.0,4.5,0.8,-4.5,0.9523809523809523,216.5,0.9090909090909091,216.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,0.0,2.0,71.4,83.3,61.0,54,0,1,10.0,44.0,0.0,20181101010045.0,21077.0,1.75,0.45454545454545453
24,,,3.0,4.5,0.8,-4.5,0.9523809523809523,216.5,0.9090909090909091,216.5,0.8333333333333334,26.0,^,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,54,0,1,10.0,44.0,0.0,20181101010047.0,11086^21077,1.75,0.45454545454545453
25,,,3.0,4.5,0.8,-4.5,0.9523809523809523,216.5,0.9090909090909091,216.5,0.8333333333333334,26.0,^,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,54,0,1,10.0,44.0,1.0,20181101010102.0,11086^21077,1.75,0.45454545454545453
26,,,3.0,4.5,0.8,-4.5,0.9523809523809523,216.5,0.8695652173913043,216.5,0.8695652173913043,26.0,^,,6.0,4.0,14.0,16.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,54,0,1,10.0,35.0,1.0,20181101010110.0,11086^21077,1.75,0.45454545454545453
27,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,^,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,56,0,1,10.0,29.0,1.0,20181101010117.0,21074^11077,1.6,0.5263157894736842
28,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,56,0,1,10.0,29.0,1.0,20181101010118.0,11077.0,1.6,0.5263157894736842
29,,,3.0,3.5,0.8695652173913043,-3.5,0.8695652173913043,217.5,0.8333333333333334,217.5,0.9090909090909091,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,61.0,56,0,1,10.0,20.0,1.0,20181101010126.0,11077.0,1.65,0.5
30,,,3.0,4.5,0.8,-4.5,0.9523809523809523,218.5,0.8695652173913043,218.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,63.0,56,0,1,10.0,15.0,1.0,20181101010131.0,11077.0,1.75,0.45454545454545453
31,,,3.0,4.5,0.8,-4.5,0.9523809523809523,218.5,0.8695652173913043,218.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,63.0,56,0,1,10.0,15.0,1.0,20181101010132.0,21077.0,1.75,0.45454545454545453
32,,,3.0,4.5,0.8,-4.5,0.9523809523809523,217.5,0.9090909090909091,217.5,0.8333333333333334,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,63.0,56,0,1,10.0,6.0,1.0,20181101010140.0,21077.0,1.75,0.45454545454545453
33,,,3.0,4.5,0.8,-4.5,0.9523809523809523,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,63.0,56,0,1,10.0,2.0,1.0,20181101010144.0,21095.0,1.75,0.45454545454545453
34,,,3.0,4.5,0.8695652173913043,-4.5,0.8695652173913043,217.5,0.8695652173913043,217.5,0.8695652173913043,26.0,,,6.0,4.0,14.0,17.0,15.0,10.0,3.0,4.0,1.0,2.0,71.4,83.3,63.0,56,0,1,10.0,2.0,0.0,20181101010145.0,11077.0,1.95,0.4166666666666667
