,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,148.5,0.8,148.5,0.8695652173913043,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,58.0,0,20181102002456,21077^21081,1.4,0.5263157894736842
1,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,148.5,0.8,148.5,0.8695652173913043,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,58.0,1.0,20181102002648.0,21077.0,1.4,0.5263157894736842
2,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,148.5,0.8,148.5,0.8695652173913043,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,57.0,1.0,20181102002649.0,21077.0,1.4,0.5263157894736842
3,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,54.0,0.0,20181102002651.0,21077.0,1.4,0.5263157894736842
4,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,54.0,0.0,20181102002700.0,11086.0,1.4,0.5263157894736842
5,,,2.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,,,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,54.0,0.0,20181102002701.0,11086.0,1.4,0.5263157894736842
6,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,148.5,0.8695652173913043,148.5,0.8,,1:2,,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,3.0,3.0,100.0,100.0,31,32.0,0,1,0.0,54.0,0.0,20181102002702.0,21078.0,1.25,0.5714285714285714
7,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,148.5,0.8695652173913043,148.5,0.8,,^1:2,1.0,4.0,3.0,9.0,11.0,1.0,3.0,3.0,4.0,4.0,3.0,100.0,100.0,31,32.0,0,1,0.0,54.0,0.0,20181102002703.0,11086^21078,1.25,0.5714285714285714
8,,,2.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,1:2^2:2,1.0,4.0,3.0,9.0,11.0,1.0,4.0,3.0,4.0,4.0,3.0,100.0,100.0,31,33.0,0,1,0.0,54.0,0.0,20181102002714.0,21079^21078,1.2,0.625
9,,,2.0,2.5,0.8,-2.5,0.8695652173913043,150.5,0.8333333333333334,150.5,0.8333333333333334,,2:2,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,54.0,0.0,20181102002725.0,21079.0,1.2,0.625
10,,,2.0,2.5,0.8,-2.5,0.8695652173913043,150.5,0.8333333333333334,150.5,0.8333333333333334,,2:2,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,54.0,1.0,20181102002727.0,21079.0,1.2,0.625
11,,,2.0,2.5,0.8,-2.5,0.8695652173913043,150.5,0.8,150.5,0.8695652173913043,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,51.0,1.0,20181102002731.0,11077.0,1.2,0.625
12,,,2.0,2.5,0.8,-2.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,42.0,1.0,20181102002739.0,11077.0,1.2,0.625
13,,,2.0,2.5,0.8,-2.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,34.0,1.0,20181102002748.0,11077.0,1.2,0.625
14,,,2.0,2.5,0.8,-2.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,0.0,20181102002752.0,11077.0,1.2,0.625
15,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,0.0,20181102002755.0,11077.0,1.0,0.7142857142857143
16,44.0,5.0,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,4.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,0.0,20181102002805.0,21081.0,1.0,0.7142857142857143
17,44.0,5.0,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,^,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,3.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,0.0,20181102002806.0,21077^21081,1.0,0.7142857142857143
18,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,3.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,1.0,20181102002951.0,21077.0,1.0,0.7142857142857143
19,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,3.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,30.0,1.0,20181102002952.0,21077.0,1.0,0.7142857142857143
20,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,,,1.0,4.0,3.0,9.0,11.0,1.0,5.0,3.0,3.0,4.0,3.0,100.0,100.0,31,34.0,0,1,0.0,29.0,1.0,20181102002952.0,21077.0,1.0,0.7142857142857143
