,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,241.5,0.8333333333333334,241.5,0.9090909090909091,,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,12.0,0.0,0,20181102001246,01083,0.08333333333333333,7.25
1,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,12.0,0.0,0,20181102002825.0,01083,0.08333333333333333,7.25
2,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,26.0,^,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,12.0,0.0,1.0,20181102002825.0,01089^11077,0.08333333333333333,7.25
3,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,26.0,^,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,59.0,1.0,20181102002825.0,01089^11077,0.08333333333333333,7.25
4,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,240.5,0.8695652173913043,240.5,0.8695652173913043,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,58.0,1.0,20181102002827.0,21077.0,0.08333333333333333,7.25
5,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,240.5,0.8333333333333334,240.5,0.9090909090909091,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,55.0,1.0,20181102002834.0,21077.0,0.07142857142857142,8.25
6,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,239.5,0.8333333333333334,239.5,0.9090909090909091,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,42.0,0.0,20181102002838.0,21077.0,0.07142857142857142,8.25
7,,,3.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,239.5,0.8333333333333334,239.5,0.9090909090909091,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,42.0,1.0,20181102002857.0,21077.0,0.07142857142857142,8.25
8,,,3.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,238.5,0.8695652173913043,238.5,0.8695652173913043,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,33.0,1.0,20181102002906.0,21077.0,0.07142857142857142,8.25
9,,,3.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,238.5,0.8695652173913043,238.5,0.8695652173913043,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,33.0,1.0,20181102002906.0,21095.0,0.07142857142857142,8.25
10,,,3.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,238.5,0.8333333333333334,238.5,0.9090909090909091,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,24.0,1.0,20181102002915.0,21095.0,0.07142857142857142,8.25
11,,,3.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,237.5,0.9090909090909091,237.5,0.8333333333333334,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,23.0,1.0,20181102002916.0,11094.0,0.07142857142857142,8.25
12,,,3.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,237.5,0.9090909090909091,237.5,0.8333333333333334,26.0,,,4.0,7.0,15.0,20.0,15.0,11.0,4.0,4.0,0.0,0.0,83.3,84.6,57,72,0,1,11.0,23.0,1.0,20181102002917.0,11077.0,0.07142857142857142,8.25
